Unnamed: 0,BioSample,BioProject,LibraryLayout,Platform,Model,Subspecies,Breed,Predicted breed label,Breed group,Sex,Age,Clean reads,Mapped reads,Mapping rate,Expressed gene count,Expressed gene ratio,Tissue class,Main categories,Sub categories,Note,Used in molQTL analysis,BioSample.WGS
1,SAMD00016663,PRJDB2835,SINGLE,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,"79,209,508","45,649,283",0.5763,17590,0.5513,Unknown,Unknown,Unknown,,No,
2,SAMD00016665,PRJDB2835,SINGLE,ILLUMINA,Illumina HiSeq 2000,Sus scrofa,Unknown,Landrace x Yorkshire,Cross,Unknown,Unknown,"200,157,259","174,888,319",0.8738,14573,0.4567,Heart,Heart,Heart,,Yes,
3,SAMD00046881,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"40,366,030","38,624,608",0.9569,16859,0.5284,Oocyte,Oocyte,Oocyte,,Yes,
4,SAMD00046882,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"39,788,068","38,077,270",0.957,17004,0.5329,Oocyte,Oocyte,Oocyte,,Yes,
5,SAMD00046883,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"29,915,504","28,442,336",0.9508,17826,0.5587,Oocyte,Oocyte,Oocyte,,Yes,
6,SAMD00046884,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"35,271,364","33,650,560",0.954,17173,0.5382,Oocyte,Oocyte,Oocyte,,Yes,
7,SAMD00046885,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"34,134,200","31,347,843",0.9184,16792,0.5263,Ovarian granulosa cells,Ovary,Ovary,,Yes,
8,SAMD00046886,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"36,121,106","32,382,599",0.8965,15841,0.4965,Ovarian granulosa cells,Ovary,Ovary,,Yes,
9,SAMD00046887,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"36,881,009","32,557,393",0.8828,15512,0.4861,Ovarian granulosa cells,Ovary,Ovary,,Yes,
10,SAMD00046888,PRJDB4551,SINGLE,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Duroc x (Landrace x Yorkshire),Cross,Unknown,Unknown,"38,345,747","35,092,440",0.9152,15529,0.4867,Ovarian granulosa cells,Ovary,Ovary,,Yes,
11,SAMD00057781,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Unknown,Unknown,"22,255,364","20,619,125",0.9265,14823,0.4646,Unknown,Other,Other,Outlier,No,
12,SAMD00057782,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"23,161,949","13,034,346",0.5627,15371,0.4817,Unknown,Unknown,Unknown,,No,
13,SAMD00057783,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Unknown,Unknown,Unknown,Female,Unknown,"22,160,638","12,515,189",0.5647,15250,0.4779,Unknown,Unknown,Unknown,,No,
14,SAMD00153268,PRJDB5113,PAIRED,ILLUMINA,Illumina HiSeq 2500,Sus scrofa,Large white,Landrace x Yorkshire,Cross,Female,Unknown,"21,591,217","20,047,957",0.9285,14817,0.4644,Muscle,Muscle,Muscle,,Yes,
