Sample_ID,Tissue,Tissue_detail,Age,Stage,Sex
SAMN00000001,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000002,Muscle,Muscle,7,Infant_0_20d,Male
SAMN00000003,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000004,Muscle,Muscle,18,Infant_0_20d,Female
SAMN00000005,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000006,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000007,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000008,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000009,Muscle,Muscle,13,Infant_0_20d,Female
SAMN00000010,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000011,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000012,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000013,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000014,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000015,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000016,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000017,Muscle,Muscle,7,Infant_0_20d,Male
SAMN00000018,Muscle,Muscle,19,Infant_0_20d,Female
SAMN00000019,Muscle,Muscle,9,Infant_0_20d,Female
SAMN00000020,Muscle,Muscle,2,Infant_0_20d,Female
SAMN00000021,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000022,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000023,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000024,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000025,Muscle,Muscle,17,Infant_0_20d,Female
SAMN00000026,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000027,Muscle,Muscle,1,Infant_0_20d,Male
SAMN00000028,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000029,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000030,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000031,Muscle,Muscle,12,Infant_0_20d,Female
SAMN00000032,Muscle,Muscle,4,Infant_0_20d,Male
SAMN00000033,Muscle,Muscle,4,Infant_0_20d,Female
SAMN00000034,Muscle,Muscle,3,Infant_0_20d,Female
SAMN00000035,Muscle,Muscle,6,Infant_0_20d,Female
SAMN00000036,Muscle,Muscle,2,Infant_0_20d,Male
SAMN00000037,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000038,Muscle,Muscle,8,Infant_0_20d,Male
SAMN00000039,Muscle,Muscle,11,Infant_0_20d,Female
SAMN00000040,Muscle,Muscle,5,Infant_0_20d,Female
SAMN00000041,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000042,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000043,Muscle,Muscle,15,Infant_0_20d,Male
SAMN00000044,Muscle,Muscle,7,Infant_0_20d,Male
SAMN00000045,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000046,Muscle,Muscle,15,Infant_0_20d,Male
SAMN00000047,Muscle,Muscle,1,Infant_0_20d,Female
SAMN00000048,Muscle,Muscle,9,Infant_0_20d,Male
SAMN00000049,Muscle,Muscle,15,Infant_0_20d,Male
SAMN00000050,Muscle,Muscle,8,Infant_0_20d,Female
SAMN00000051,Muscle,Muscle,6,Infant_0_20d,Male
SAMN00000052,Muscle,Muscle,14,Infant_0_20d,Female
SAMN00000053,Muscle,Muscle,16,Infant_0_20d,Female
SAMN00000054,Muscle,Muscle,10,Infant_0_20d,Male
SAMN00000055,Muscle,Muscle,5,Infant_0_20d,Male
SAMN00000056,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000057,Muscle,Muscle,11,Infant_0_20d,Male
SAMN00000058,Muscle,Muscle,10,Infant_0_20d,Female
SAMN00000059,Muscle,Muscle,14,Infant_0_20d,Male
SAMN00000060,Muscle,Muscle,12,Infant_0_20d,Male
SAMN00000061,Muscle,Muscle,17,Infant_0_20d,Female
