Symbol,A1,I1,A3,A4,I7,A6,A7,I4,A8,I6,A10
A1BG,18,26,10,6,46,6,38,32,16,36,16
A1BG-AS1,8,3,9,9,9,5,8,21,6,4,12
A1CF,0,0,0,0,0,0,0,0,0,0,0
A2M,2407,4968,4765,5689,2774,3508,2789,6222,3032,9550,3498
A2M-AS1,21,39,34,46,14,14,55,33,37,37,32
A2ML1,0,0,1,0,0,0,1,1,0,2,0
A2MP1,1,2,2,1,2,1,0,3,4,2,0
A3GALT2,0,0,0,0,0,0,0,0,0,3,0
A4GALT,168,390,207,272,298,138,419,564,276,460,262
A4GNT,0,0,0,0,0,0,0,0,0,0,0
AA06,0,0,0,0,0,0,0,0,0,0,0
AAAS,349,410,329,399,344,230,409,582,400,398,492
AACS,144,124,96,201,99,71,167,71,210,173,86
AACSP1,0,0,0,0,0,0,0,0,0,0,0
AADAC,0,0,0,0,0,0,0,0,0,0,0
AADACL2,0,2,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,1,0,0,0,0
AADACP1,1,0,0,1,0,0,0,2,0,0,0
AADAT,16,23,13,27,17,19,38,25,26,34,33
AAED1,50,72,43,64,97,39,121,102,71,98,67
AAGAB,537,362,316,583,448,219,597,246,532,410,419
AAK1,112,118,138,310,141,67,264,152,149,149,145
AAMDC,1373,1245,1775,1336,952,1146,1504,1012,1436,1520,853
AAMP,1184,1161,1036,1307,968,654,1358,1280,1144,1050,1035
AANAT,0,0,0,0,0,0,0,3,0,0,0
AAR2,378,424,277,337,355,176,407,582,291,492,281
AARD,0,0,0,2,0,0,1,0,0,1,1
AARS,849,1141,1123,1463,1678,587,1307,1334,1247,1151,1215
AARS2,175,149,117,205,123,76,112,259,138,124,148
AARSD1,461,385,411,561,312,233,701,453,549,424,286
AASDH,63,126,75,93,64,48,88,111,63,62,78
AASDHPPT,468,470,400,732,421,195,740,699,506,531,475
AASS,130,173,170,271,186,94,137,165,118,259,199
AATBC,3,1,0,2,0,0,7,4,0,0,2
