tissue,rank,ensembl_id,symbol,description,biotype
Blood,1,ENSSSCG00000000528,PKP2,"plakophilin 2 [Source:VGNC Symbol;Acc:VGNC:91486]",protein_coding
Blood,2,ENSSSCG00000046793,ENSSSCG00000046793,"",protein_coding
Blood,3,ENSSSCG00000002885,USF2,"upstream transcription factor 2, c-fos interacting [Source:VGNC Symbol;Acc:VGNC:96633]",protein_coding
Blood,4,ENSSSCG00000047888,ENSSSCG00000047888,"",protein_coding
Blood,5,ENSSSCG00000037674,ENSSSCG00000037674,"N/A",N/A
Blood,6,ENSSSCG00000041037,ENSSSCG00000041037,"N/A",N/A
Blood,7,ENSSSCG00000027046,ENSSSCG00000027046,"ubiquitin specific peptidase 9 Y-linked [Source:UniProtKB Gene Name;Acc:A0A287AC95]",protein_coding
Blood,8,ENSSSCG00000012178,ENSSSCG00000012178,"",protein_coding
Blood,9,ENSSSCG00000004970,RPLP1,"ribosomal protein lateral stalk subunit P1 [Source:NCBI gene (formerly Entrezgene);Acc:100170119]",protein_coding
Blood,10,ENSSSCG00000006240,FAM110B,"family with sequence similarity 110 member B [Source:VGNC Symbol;Acc:VGNC:87885]",protein_coding
Blood,11,ENSSSCG00000050458,MPEG1,"macrophage expressed 1 [Source:NCBI gene (formerly Entrezgene);Acc:100516953]",protein_coding
Blood,12,ENSSSCG00000030575,TMEM158,"transmembrane protein 158 [Source:VGNC Symbol;Acc:VGNC:99749]",protein_coding
Blood,13,ENSSSCG00000025858,ELN,"elastin [Source:VGNC Symbol;Acc:VGNC:87655]",protein_coding
Blood,14,ENSSSCG00000051661,ENSSSCG00000051661,"",lncRNA
Blood,15,ENSSSCG00000046926,ENSSSCG00000046926,"N/A",N/A
Blood,16,ENSSSCG00000031003,ENSSSCG00000031003,"",protein_coding
Blood,17,ENSSSCG00000005465,SUSD1,"sushi domain containing 1 [Source:VGNC Symbol;Acc:VGNC:93633]",protein_coding
Blood,18,ENSSSCG00000045536,ENSSSCG00000045536,"",lncRNA
Blood,19,ENSSSCG00000017667,PTRH2,"peptidyl-tRNA hydrolase 2 [Source:VGNC Symbol;Acc:VGNC:91998]",protein_coding
Blood,20,ENSSSCG00000012179,ZFY,"zinc finger protein Y-linked [Source:HGNC Symbol;Acc:HGNC:12870]",protein_coding
Blood,21,ENSSSCG00000051462,ENSSSCG00000051462,"N/A",N/A
Blood,22,ENSSSCG00000007186,ENSSSCG00000007186,"",protein_coding
Blood,23,ENSSSCG00000009388,KCNRG,"potassium channel regulator [Source:VGNC Symbol;Acc:VGNC:89385]",protein_coding
Blood,24,ENSSSCG00000004554,PCLAF,"PCNA clamp associated factor [Source:NCBI gene (formerly Entrezgene);Acc:100514810]",protein_coding
Blood,25,ENSSSCG00000016629,ST7,"suppression of tumorigenicity 7 [Source:VGNC Symbol;Acc:VGNC:111878]",protein_coding
Blood,26,ENSSSCG00000024081,NRBF2,"nuclear receptor binding factor 2 [Source:VGNC Symbol;Acc:VGNC:90890]",protein_coding
Blood,27,ENSSSCG00000022105,SUCNR1,"succinate receptor 1 [Source:VGNC Symbol;Acc:VGNC:93605]",protein_coding
