p_threshold,n_genes,correlation,p_value,score,n_available
0.05,15,0.3979697173655873,0.14180296449190422,1.5413300876517921,153
0.05,17,0.29999070762116387,0.24205317779656682,1.2368933742258434,153
0.05,19,0.49420790114634583,0.03149229430429249,2.1542022981962607,153
0.05,21,0.4385758576478014,0.04672120777335366,2.009807065651227,153
0.05,23,0.3989693137349639,0.05931399084273762,1.913389611644582,153
0.05,25,0.37740242412297786,0.06290517091015571,1.8870121206148893,153
0.05,27,0.3877586569709286,0.04566430883160366,2.0148530848449604,153
0.05,29,0.5527443671306612,0.0018738585885124186,2.9766195132138704,153
0.05,31,0.54149920356799,0.0016553896816363853,3.014939968126694,153
0.05,33,0.4894924628985189,0.0038385909383239027,2.8119201181287337,153
0.05,35,0.45291667468617636,0.006292882315079824,2.6794911825395937,153
0.05,37,0.4265809739337153,0.008466677349607061,2.594790764382125,153
0.05,39,0.45469674594328524,0.003636410496518282,2.8395802682940814,153
0.05,41,0.45221393833219237,0.002994202097710709,2.8955820290398244,153
0.05,43,0.4561535014023048,0.0021100813620980575,2.99119854309072,153
0.05,45,0.45821020444458205,0.0015494461483352626,3.0737674953664853,153
0.05,47,0.47181181469719136,0.0008140931380808945,3.234578837952365,153
0.05,49,0.4654948177172046,0.0007506661732221859,3.258463724020432,153
0.05,51,0.4153082260739739,0.0024411968265929335,2.965893972292378,153
0.05,53,0.411887700009805,0.002181315021380783,2.998587718114389,153
0.05,55,0.36480657369922537,0.006173764765608183,2.7054779599507475,153
0.05,57,0.3620428850537556,0.005651129830598447,2.733363840623614,153
0.05,59,0.38007108410792234,0.002985625898732281,2.9193813915833795,153
0.1,15,0.7083388819052433,0.003121629951720629,2.7433846930901895,199
0.1,17,0.7109027776553632,0.0013786795297663595,2.931127241818049,199
0.1,19,0.7246668440002326,0.00044891369930853605,3.158749540731568,199
0.1,21,0.7327112855457919,0.0001583831099715343,3.357704928561994,199
0.1,23,0.6854577267397408,0.0003065677795084038,3.2873397737967247,199
0.1,25,0.6957637323178849,0.00011260218453000224,3.4788186615894245,199
0.1,27,0.6889596153937045,7.071635909654383e-05,3.5799391746750273,199
0.1,29,0.6906183082928757,3.373733417236866e-05,3.7190934089815615,199
0.1,31,0.6762126830846275,2.9723644639944625e-05,3.76499287857226,199
0.1,33,0.6613806888708431,2.7829620804922105e-05,3.799342800429035,199
0.1,35,0.6584637673451705,1.708958525445384e-05,3.8955241818943724,199
0.1,37,0.6717731547728245,5.307949924022828e-06,4.0862365747123635,199
0.1,39,0.6989503296075278,7.457785287896853e-07,4.3649434093789115,199
0.1,41,0.6856745803959449,7.537891166449685e-07,4.390459524724873,199
0.1,43,0.6417695198178375,3.5182272350407866e-06,4.2083641729762835,199
0.1,45,0.6151345176972045,6.9131306303956655e-06,4.12644779063249,199
0.1,47,0.57625753889495,2.247634412193733e-05,3.9506226475409476,199
0.1,49,0.5614022742291407,2.7096844987999635e-05,3.9298159196039846,199
0.1,51,0.5677186430848957,1.3945510645714105e-05,4.054322057140246,199
0.1,53,0.5662061278045396,9.91922097601781e-06,4.122042830401058,199
0.1,55,0.5312595472432465,3.0041788737379485e-05,3.9399262505204917,199
0.1,57,0.5231196653282242,2.9804954775991258e-05,3.949466863062337,199
0.1,59,0.5261603501767685,1.8688280820807835e-05,4.041514336457343,199
0.15,15,0.6732439634885055,0.005940404524717666,2.607462658525656,239
0.15,17,0.6667370893488609,0.0034652725898763363,2.749027443902233,239
0.15,19,0.6354742159129901,0.0034567214029984335,2.769967888390471,239
0.15,21,0.6476924359350096,0.0015008157866464626,2.9680996147225174,239
0.15,23,0.6667275592758365,0.0005122524294865912,3.197513046236406,239
0.15,25,0.6315575290414799,0.0007093369141160617,3.1577876452073994,239
0.15,27,0.6416215844261891,0.00030963827492339914,3.3339635503770104,239
0.15,29,0.6380709855962232,0.00019614224071724058,3.4361174160864083,239
0.15,31,0.6412282581943204,0.00010151880955392773,3.570207844413905,239
0.15,33,0.6300193869370642,8.530489906125973e-05,3.6191858367934477,239
0.15,35,0.5914879234553855,0.00018254808993951576,3.4992897459019794,239
0.15,37,0.5854209761273255,0.0001411693169220979,3.5609767780379036,239
0.15,39,0.607307166663593,4.139167611121495e-05,3.7926320402271405,239
0.15,41,0.6169013685298959,1.74356178461171e-05,3.95009610493927,239
0.15,43,0.6237401835014246,7.876131673250056e-06,4.09013790844744,239
0.15,45,0.6039085873054777,1.1225037805673499e-05,4.051141960232744,239
0.15,47,0.5592544161606927,4.38283060073542e-05,3.834055110946653,239
0.15,49,0.5260241956772955,0.0001036993442640891,3.682169369741069,239
0.15,51,0.5225195599936159,8.382388454901281e-05,3.73153604020811,239
0.15,53,0.506839234939269,0.00010761676742776719,3.689845326556744,239
0.15,55,0.49453340104833904,0.00012418472958150242,3.667557860672965,239
0.15,57,0.5019619988728949,6.944592094469463e-05,3.7897299842879195,239
0.15,59,0.5011840544092871,5.272471026572346e-05,3.849667768425445,239
0.2,15,0.6732439634885055,0.005940404524717666,2.607462658525656,268
0.2,17,0.6667370893488609,0.0034652725898763363,2.749027443902233,268
0.2,19,0.6121570682002615,0.005339258298457421,2.6683307978590762,268
0.2,21,0.5950288195585738,0.00443568500314343,2.7267646063073845,268
0.2,23,0.6095188034217937,0.0020183162208902406,2.9231494915020866,268
