pig_gene_id,gene_symbol,biomarker_label,importance,log2fc_pig,p_pig,log2fc_human,p_human,fdr_pig,fdr_human
ENSSSCG00000018007,MYH3,MHCdev,0.0,-5.379475517103844,0.008132424532622027,-2.141379268629636,0.006060606060606061,0.018592310631819382,0.07348484848484849
ENSSSCG00000018005,MYH8,MHCneonatal,0.0,-3.8245012693912512,0.02474153238594074,-0.6794663392619988,0.7878787878787878,0.04374869919284834,0.8945981554677207
ENSSSCG00000034015,XIRP1,XIRP1,0.0,-0.2490205248189777,0.46211869688358365,-1.222166117273074,0.3151515151515151,0.5169334352289181,0.5206517732065177
ENSSSCG00000015917,XIRP2,XIRP2,0.0,1.625638684050788,0.002627093755297294,0.012372385682996001,0.7878787878787878,0.0077220634625405305,0.8945981554677207
ENSSSCG00000023611,TNXB,TNXB,0.0,-2.1310521027495093,0.0020801285136011712,-0.5675175988515466,0.2303030303030303,0.006478932388693555,0.4455149788483121
ENSSSCG00000031053,S100A1,S100A1,0.0,2.6354548742120514,4.853860790542022e-08,0.9320782274359891,0.07272727272727272,4.708244966825761e-06,0.24326018808777428
ENSSSCG00000029251,MAP4,MAP4,0.0,0.798990494631321,0.18851467090486695,0.25132068709569666,0.16363636363636364,0.23616505820000858,0.38313479623824453
ENSSSCG00000001485,MLIP,MLIP,0.0,0.26326375801058727,0.7028732476184505,-0.051037461030261584,0.7878787878787878,0.7410728806411924,0.8945981554677207
ENSSSCG00000011286,KLHL40,KLHL40,0.0,0.2831459072063987,0.07231719498266291,-0.0909427569122222,1.0,0.10294208677825602,1.0
ENSSSCG00000012365,MSN,MSN,0.0,-1.1888893007571486,0.38738690070038606,-0.5448333130971735,0.2303030303030303,0.4435678002960576,0.4455149788483121
ENSSSCG00000026116,FHOD1,FHOD1,0.0,1.41501571215488,0.92408935754015,0.9344073643568039,0.006060606060606061,0.9365024981638236,0.07348484848484849
ENSSSCG00000005601,HSPA5,HSPA5,0.0,-2.324394600228598,0.0007847285278677192,-1.2028426521953404,0.10909090909090909,0.003552204469481209,0.2986803519061584
ENSSSCG00000037539,SORCS2,,1995.709947110464,-4.674279642673845,0.0003614921453740939,-0.9530172905719805,0.024242424242424242,0.002163466863182467,0.134923000496771
ENSSSCG00000012669,,,1751.689865511842,-7.330663722041508,0.0004013562810618731,,,,
ENSSSCG00000036512,FGFRL1,,1749.9117274203647,-3.0256023691445297,3.962611051718663e-05,-2.1030904678687374,0.006060606060606061,0.000507662812097542,0.07348484848484849
ENSSSCG00000012667,IGSF1,,1164.6927786556382,-5.659099146730556,0.0008908476049920453,-0.33719644466623505,0.024242424242424242,0.0038527740368764253,0.134923000496771
ENSSSCG00000016453,TCAF1,,552.3778205315272,-4.724004711577196,1.5370559170049733e-08,-1.0174723693368681,0.006060606060606061,1.7394349460772949e-06,0.07348484848484849
ENSSSCG00000004803,ACTC1,,429.9447212760958,-10.055325841057098,0.00020867816482541098,-0.27724064239054963,0.4121212121212121,0.0016101417490506141,0.6190935907750067
ENSSSCG00000044722,,,416.55493714598316,2.6905826187903297,0.0005075379032334566,,,,
ENSSSCG00000004094,PPP1R14C,,394.964376270771,3.4532469494782134,0.0003016273329156847,-0.47721590870642633,0.10909090909090909,0.001988397660677184,0.2986803519061584
ENSSSCG00000030303,ACHE,,384.20738843176514,-3.340940378586163,0.0013144853003406634,-0.532948773973814,0.006060606060606061,0.004798578058770485,0.07348484848484849
ENSSSCG00000044892,,,359.6991695314646,-3.3809702120275653,0.0006416888321626878,,,,
ENSSSCG00000027613,TRDN,,336.2372658569366,2.0408109138092074,0.03896815476179008,0.3692461570968046,0.04242424242424242,0.06259128252122025,0.19204040404040404
ENSSSCG00000035805,DLK1,,324.2080261496206,-9.15437545029128,0.00022195558180609695,-2.876513050630651,0.006060606060606061,0.0016745315560704424,0.07348484848484849
ENSSSCG00000042876,,,284.8589469343424,0.09053324991719758,0.9843095607624014,,,,
ENSSSCG00000012234,SRPX,,277.9494722684224,-4.390621330208041,4.308610428404467e-06,-1.7461577321874384,0.024242424242424242,0.00012189777003694305,0.134923000496771
ENSSSCG00000036501,WDR1,,250.57115855192146,-1.6859358216397164,0.0012809338626240396,-0.5229999804458939,0.012121212121212121,0.004726924416965886,0.09044289044289044
ENSSSCG00000012546,NRK,,234.5386708577474,-8.562433522216082,0.00025112513284127064,-2.449433564112128,0.006060606060606061,0.001794883844202345,0.07348484848484849
ENSSSCG00000004399,SLC22A16,,207.71445279320082,4.027098811691547,0.0016251488625133059,-0.03772102555284644,0.25683925795785656,0.0054627528596363105,0.48308547410909863
ENSSSCG00000044729,,,197.18701886261502,0.32746785305023585,0.5210123675101115,,,,
ENSSSCG00000017379,ETV4,,195.0833543141683,-2.7195113442660173,0.0014074187544966506,-2.0590175706774434,0.07195139759371376,0.004925965640738278,0.24326018808777428
ENSSSCG00000026087,GKAP1,,186.29333818765977,1.4067432360985972,0.007963731016995892,-0.07706730125354323,0.9272727272727272,0.01826815324506828,0.9930886148551763
ENSSSCG00000009972,KREMEN1,,179.8250165656209,-1.685837123710658,0.0011259735479091872,-1.4256029359798452,0.006060606060606061,0.004393885281783552,0.07348484848484849
ENSSSCG00000033029,,,167.60742995887995,3.687126112608256,0.00030022515749504174,,,,
ENSSSCG00000039342,DNAI1,,153.59841054181257,-3.1963912228774607,0.0018640229971375118,0.0,1.0,0.006084959687771011,1.0
ENSSSCG00000033673,SLC25A6,,145.58976913491884,-3.369948478357902,1.0888827706782602e-06,-0.5028608954230103,0.04242424242424242,4.1075077849474374e-05,0.19204040404040404
ENSSSCG00000002792,,,130.81299449751774,1.6425912774195413,0.046053109922924544,,,,
ENSSSCG00000011795,IGF2BP2,,116.97611145178477,-2.1923650370896124,0.0008609891527015217,-2.0276044398329574,0.006060606060606061,0.003771687965705376,0.07348484848484849
