Tissue,Scheme,Stage,N_samples,Precision,Recall,F1
Muscle,4-class,Infant,58,0.8983050847457628,0.9137931034482759,0.905982905982906
Muscle,4-class,Early childhood,23,0.7368421052631579,0.6086956521739131,0.6666666666666666
Muscle,4-class,Pre-pubertal,27,0.7333333333333333,0.8148148148148148,0.7719298245614035
Muscle,4-class,Post-pubertal,121,0.9752066115702479,0.9752066115702479,0.9752066115702479
Brain,2-class,Infant,8,0.7,0.875,0.7777777777777778
Brain,2-class,Early childhood,5,0.6666666666666666,0.4,0.5
Liver,4-class,Infant,26,1.0,0.9615384615384616,0.9803921568627451
Liver,4-class,Early childhood,18,0.8571428571428571,1.0,0.9230769230769231
Liver,4-class,Pre-pubertal,25,0.92,0.92,0.92
Liver,4-class,Post-pubertal,24,1.0,0.9166666666666666,0.9565217391304348
Blood,2-class,Infant,14,0.875,1.0,0.9333333333333333
Blood,2-class,Early childhood,10,1.0,0.8,0.8888888888888888
Lung,2-class,Infant,31,0.9375,0.967741935483871,0.9523809523809523
Lung,2-class,Early childhood,8,0.8571428571428571,0.75,0.8
