Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA3720870,47.384569815859855,-30.71638087392067,14.62683020015427,-0.2492034420332682,4.091774045676554,-25.812244620167984,-9.17286535172567,-20.85563334895232,-0.929054335440892,-6.830631806425722,16.302439,14.2791,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720871,-31.94305730758735,-34.8031610893714,-36.66518170041383,2.506842287576506,1.808771931763671,-0.9510443833277721,-12.658044166675737,-6.309089228902175,-6.75657902196377,-2.521960016330653,15.071429,12.312317,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720872,-20.933031219350408,-32.85263421605796,-25.25113422779408,2.3928570884479647,1.2103801177799693,-14.256254104143482,-15.837829733107242,-17.279232004011675,-3.853476506783748,4.051387178001987,15.417431,11.929551,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720873,-18.99239462504995,-30.19425409729573,-21.228112010349005,-12.086092622085225,3.497240524622723,-15.66030216402289,-7.608529841398621,-17.218186892241444,-0.1432064827565505,0.684548907179231,15.543674,11.981262,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720874,0.5378887092707153,-37.89341083127418,-20.698523620981614,3.487320334583932,-0.4003246912342937,-6.308098001938467,-6.84580668190252,-3.376785014705466,-6.371751180420332,1.6124641523021328,15.680124,12.3652725,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720875,60.98894035714557,-40.34506651933578,25.632440956486768,1.4301911475246838,-1.3845701806281434,-14.811558158049602,-8.389483700891939,-18.523229456670705,-1.6058031947085252,-4.957606640771406,16.219217,14.673103,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720876,8.45845971777864,-42.86600876547758,-14.17999834586022,8.07406688908316,-8.435112467300156,-9.1487579097866,-8.645124648810345,-5.217257456538411,-6.22623652769638,2.3969356759003975,16.072422,12.465586,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720877,33.92432978473172,-31.98672039158668,6.189215785726014,-15.044653142064693,9.313530160196546,-12.483741498350227,-1.911026640645651,-11.56219589238254,1.5642927836137774,-13.513151876052207,15.870376,14.292406,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720878,-74.88531175017306,0.12396289336125664,-3.0166592485637924,11.744461952155808,-0.3126051047224964,-12.02247636413399,-5.88930279423826,21.772742160818215,-8.971900313022706,17.279504226288285,16.689316,-8.65897,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
SAMEA3720879,-18.281053118816768,-33.41491929688741,-29.42983454917223,1.494536130835098,-3.727880848135522,-11.61677022679936,-16.053817624594092,-11.692969480765898,-8.517352370698598,4.527596880678646,15.278946,12.395935,PRJEB12300,Post-pubertal,Female,Unknown,ILLUMINA,Illumina HiSeq 2000,Blood
