Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA5760399,50.53666555502082,40.02950727064056,112.6954263801799,-17.14997296761663,31.557076934100028,4.159655427002846,-30.14794268346074,-2.2953049533914274,-6.043302579333332,2.3497127499196964,4.312659,19.450417,PRJEB33381,Adult,Male,Unknown,ILLUMINA,Illumina NovaSeq 6000,Brain
SAMEA5760498,-16.051913468963736,43.66995454936382,109.10847626051756,-23.84399971589265,-13.639347087008652,-10.751548312468785,34.45397449568385,5.667651848353289,1.1496538074971583,-3.2452679980021446,2.8897858,17.77663,PRJEB33381,Adult,Male,Unknown,ILLUMINA,Illumina NovaSeq 6000,Brain
SAMN06821194,103.88248860795312,-37.637138202517846,-8.17802744562136,-30.646912049029535,-4.37012829698281,1.1591445284252038,-4.949300416745265,-0.3744038222375227,6.255353939019112,6.125227249042903,5.6198926,19.855064,PRJNA384017,Post-pubertal,Unknown,Rongchang,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN06821195,73.10519694693971,-30.950394116182206,-9.62429655696737,-23.447379148661398,-6.679526990216165,10.597479578591368,3.2562780106275424,-0.5459155649801429,1.5819653167835892,1.627739231667852,5.129473,19.306364,PRJNA384017,Post-pubertal,Unknown,Rongchang,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN06821196,28.8363632241331,-29.092852416674766,-9.248118618140671,-22.877469576629622,-14.5088943601409,11.43987240003773,-4.218749610937678,-5.007192751171589,2.5565065658023056,-2.2307927771306955,4.904846,18.549322,PRJNA384017,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN06821197,98.46199292629862,-38.19174296448271,-8.464141246833305,-30.421451916469287,-6.09504062165568,-1.3446279073471015,-10.857105929762039,-3.0442260942767714,7.950613948729231,0.10314598134246301,5.372585,19.591427,PRJNA384017,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN06821198,90.7892731580797,-31.78066569019863,-12.519217960219006,-21.171089003172156,-0.48902967480263065,11.25154801463451,5.623354134911182,2.6253884942714314,0.5761377758265279,3.305349090539702,4.7953777,19.294046,PRJNA384017,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN06821199,61.86591684838419,-29.158639578212135,-10.204079538397313,-22.765432325821806,-10.045915000609634,8.51235236909272,5.371087112863289,-3.717857727976914,-1.5832552192507614,9.695957079873432,4.837642,19.637867,PRJNA384017,Post-pubertal,Unknown,Rongchang,ILLUMINA,Illumina HiSeq 2000,Brain
SAMN07313681,166.70093018506202,-67.79731491413499,38.34381190871504,53.00365733908428,-15.514792103053459,10.026727535631442,-1.6370837694139804,-4.724974082208467,-0.2994651113026973,1.9174897305401375,5.6516366,19.399942,PRJNA392949,Post-pubertal,Male,Duroc,ILLUMINA,Illumina HiSeq 2500,Brain
SAMN07314856,145.4388844676004,-63.732956776883974,51.85851534511586,37.20897086935037,-14.747744322879836,-3.892352903363745,0.19352477423950065,-0.5523283335772134,3.1854444290237107,-0.3892928141877364,5.0237474,19.821112,PRJNA392949,Infant,Male,Duroc,ILLUMINA,Illumina HiSeq 2500,Brain
