Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA104407658,84.17988227046939,93.70630517646529,36.83556132693926,44.29169566780104,-6.609526719344624,5.70001964692967,-2.1181717933358013,-0.8916066480795776,-5.8450821068688334,9.960247408785419,6.3041368,-6.129938,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407659,68.06402204909612,107.72994768429899,32.92616662698635,23.264968966729317,4.414918949172632,9.00761121480748,-10.281066415879188,-11.361139540218929,-6.49572437109401,6.329310942816376,6.4034014,-6.158932,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407660,80.40367544642518,114.93744415375888,40.995449142565,38.12762114032195,8.671314866812542,5.825229554857642,-18.731376894933273,-11.220106656990898,-13.576353738441425,9.021797046477499,6.269976,-5.9923234,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407661,82.79980375294707,98.62507531889683,37.1892653583852,20.600915942699082,2.1959317995782297,7.816548645385541,-19.617933387918328,-8.974917445824067,-7.669330365613306,7.432552021736429,6.3313446,-6.1811633,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407662,86.90702174304138,103.45223431186717,41.97191834728255,29.057642155481698,3.7613795518967517,6.7434699877123725,-14.35073969055493,-5.162964961579167,-8.496573189004865,11.705400792498803,6.284446,-6.0783434,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407663,92.06500591468664,96.35537100549107,41.75978076281874,26.84544245889104,-2.66844604350764,3.831358487710099,-14.155544603987453,-4.991997293115759,-6.10014074019815,7.843145688513762,6.37668,-6.239824,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407664,75.88044363450717,106.39314150641329,36.7470510041443,16.94462858551006,7.905826560652204,-5.784965624723541,-19.755449894983773,-8.485585374568677,-7.531615916613628,-1.2316172704793171,6.4740806,-6.295171,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407665,91.96723337582603,97.82871510177446,42.46581066499932,22.057049566986546,0.7269427695238002,-6.651522599839697,-19.565711448948726,-3.5727097583405114,-2.6681950087637225,3.4430161108195496,6.5369377,-6.1983976,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407666,46.03691856693912,124.44182902878954,27.2620836002097,65.27845187223012,22.117556621246127,-6.319788254532771,-14.077592959638347,-5.124034724037343,-15.802047197870651,7.3960363638268465,6.1495256,-5.852859,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407667,25.705301104918117,121.00824540824917,22.359346409858045,68.724311110265,35.851020996747934,-5.613050538354885,-22.41438826727855,-7.322821596121281,-8.476216854085214,-0.9268446869736122,6.3036265,-5.884921,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407668,34.287296515677816,117.92077603588513,25.67431825880034,65.96716565909203,23.729917324850252,-8.138177092130855,-17.232736824707743,-6.033451791260621,-7.580237734394283,-2.2828742800933473,6.1971154,-5.929285,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407669,27.76178803073669,124.03038386853157,18.064715325724375,71.01779141158224,22.134077556969135,-2.06516817818874,-9.205132734184753,-5.311289168173305,-12.490798687976897,12.730825177844862,6.294389,-5.9179726,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407670,29.900637701557258,114.65704324557142,19.67949559145708,65.48971000930693,21.86804254525382,-1.940759684828392,-11.182818410550844,-0.6954859910910621,-12.547435365237254,5.205178716586759,6.2567325,-5.8631907,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407672,67.29426425349571,115.18534739980934,37.14407116587394,42.51452818018895,19.30953539659648,0.9875085456493402,-23.774928926362694,-7.497164645056743,-10.666889602600737,8.560893803793375,6.2085733,-5.9539104,PRJEB23668,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
SAMEA104407673,79.65110062192073,110.49623741090407,37.36580680074077,27.44514155108568,8.462899362765127,-1.2139557269946715,-19.15501020900171,-5.741469143655096,-12.294636084318837,13.093635731109723,6.239658,-6.0961227,PRJEB23668,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Liver
