Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA7629011,-40.279428703096805,-80.14291604840346,6.8880691487869345,-4.605491568783466,66.21342337623058,-19.99500083184171,23.695595511044026,-21.496267212769798,19.283277925243237,7.759101565480702,6.6137896,2.4009438,PRJEB41970,Infant,Unknown,Large white,ILLUMINA,Illumina NovaSeq 6000,Lung
SAMEA7629012,-31.74218649377501,-81.40582069402141,7.830353106591299,-3.934472711822735,67.96932735713503,-30.28342617518699,31.75847068910774,-31.125454927846118,17.928190358201753,4.451933421154852,6.7281637,2.2815235,PRJEB41970,Infant,Unknown,Large white,ILLUMINA,Illumina NovaSeq 6000,Lung
SAMEA7629013,-41.807098025893,-83.8358990762189,11.049944249624867,-5.98114371015477,68.50019143415433,-24.666017174529955,28.389982330149127,-29.800649430487717,21.61468258521068,0.3433905858330479,6.635915,2.462911,PRJEB41970,Infant,Unknown,Large white,ILLUMINA,Illumina NovaSeq 6000,Lung
SAMEA7629014,-36.780482182719524,-83.24788725446194,9.259743052306447,-4.139241402894627,66.48315611000861,-23.44900206263518,29.20352578518575,-26.408332460779505,18.937664058146616,0.9557162424923245,6.5236926,2.3079824,PRJEB41970,Infant,Unknown,Large white,ILLUMINA,Illumina NovaSeq 6000,Lung
SAMN03699802,-44.94652567106273,-5.0167889759106306,-36.63131456514013,18.789048574444063,-20.219856150002958,18.96538394768753,7.259503327924108,10.653751139981495,-4.259174816940504,14.630625425563833,7.112678,3.6808634,PRJNA284205,Early childhood,Unknown,Tongcheng,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699803,-50.61094371508791,-0.22630415960813477,-23.346438928858397,20.757554180418428,0.5900666679052555,13.026887210425352,-3.761291926840731,11.76826068920448,-11.284064974191955,9.576747146013693,7.52398,3.3952825,PRJNA284205,Early childhood,Unknown,Tongcheng,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699804,-93.39187413141663,-0.9757035484024026,-31.675163200039357,10.446806366020622,-0.2957658726870281,26.8837227276286,-15.299222877563952,11.087384324094446,3.2651655116961784,12.109471774682548,8.423131,4.678126,PRJNA284205,Early childhood,Unknown,Tongcheng,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699805,-87.31958951723618,-2.1770687783977523,-38.84271381758763,3.1373020958830087,-24.168121908266322,18.108010056637593,0.21191552374042802,9.751194746367805,27.2042450400811,28.164128119089547,7.9149017,4.2254295,PRJNA284205,Early childhood,Unknown,Tongcheng,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699806,-40.99728355839034,-29.222837305973403,-43.44522136280111,16.85045597642011,-13.515315943605742,8.071231711403131,15.378469186386226,15.365593209123952,-0.15695560012741902,14.471752177007243,6.655176,3.5513055,PRJNA284205,Early childhood,Unknown,Landrace,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699807,-78.05626167343425,-8.61055726825424,-14.358678203179847,4.164874928180986,9.960016386858,36.04189689122182,-0.9163398224649003,17.8523062014005,9.417082431025317,7.736887814483968,8.1842785,4.2006235,PRJNA284205,Early childhood,Unknown,Landrace,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699808,-106.5047298070342,-10.498034805091773,-29.594040440893878,-1.1327711442265374,-0.9244372383685295,31.981781277197257,-11.763535379854059,12.946833613739475,25.07036114162129,17.923494124757134,8.576389,5.2484484,PRJNA284205,Early childhood,Unknown,Landrace,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN03699809,-60.54840445147313,-21.782146102482493,-31.187532790090007,-3.1158260985582795,-17.374297321840956,26.24053315298408,2.522443567809242,20.364420779773255,17.942689697924482,28.697394735978982,7.482024,4.0310717,PRJNA284205,Early childhood,Unknown,Landrace,ILLUMINA,Illumina Genome Analyzer II,Lung
SAMN04038565,-147.10858779297212,31.231476454605822,-33.97118431635608,-99.95294168299944,5.689439915448815,8.82251587443253,3.1602750277332863,-61.87328433655598,-67.89503091223283,5.8036396626245335,8.798974,5.668112,PRJNA294986,Early childhood,Male,Large white,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN04038566,-140.7230915921552,57.568893994661636,-34.79795678796869,-90.9294911052941,-7.01334030651381,2.1622073931850605,7.067259429737104,-49.89832546871838,-27.095607722603074,9.590053113493537,8.831668,5.4647064,PRJNA294986,Early childhood,Male,Large white,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04161465,-38.351950518717246,25.59667585605896,-19.748336009005317,2.669094495540027,19.05907478846903,0.6851320089364005,18.010328255711777,28.290035493788253,1.9347672137677445,5.87124706671925,8.203784,2.8115013,PRJNA298500,Pre-pubertal,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN04161466,-37.16850448445911,17.51005286612463,-29.19666779223108,-1.3057041708503356,19.427509296049074,8.444319335924941,14.725129317107251,16.852993359748844,6.772736995186203,1.5006199601133852,8.113244,2.7503786,PRJNA298500,Pre-pubertal,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN04161467,-23.261842015790055,18.772628378735696,-27.270638072231844,7.5141170639447115,18.202711120785224,-1.5174818049578973,10.339839904700836,24.607668409499237,-10.811772407442298,3.612690456019887,7.9419894,2.5634208,PRJNA298500,Pre-pubertal,Male,Laiwu,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN04161468,-25.558494651965113,20.913008416101967,-25.695277847257714,3.241455727895648,15.60513767139988,1.525153876863696,9.692676992835276,21.834568151883587,-10.699723249012651,5.979918251603433,7.9463825,2.70418,PRJNA298500,Pre-pubertal,Male,Laiwu,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN04484928,-8.689070919233956,3.174327276386093,-20.608928860845587,24.76026204204609,23.398313666382553,-6.215376226987654,3.9761784735972032,1.6722686853714395,-16.147624417220722,6.056747902115652,7.396522,2.5507305,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484938,-1.2409623140093593,-0.8691648857430939,-21.987175480989716,23.150560707458183,10.231541521674762,-2.230998606251527,10.792271654344557,15.249194351379131,-16.122719326420405,2.920468138759213,6.9052224,2.6082428,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484948,-20.73781044427321,19.245252824155514,-30.183731347641015,18.24358058145769,7.421641991299392,-8.457574623050407,-0.25205548265265937,5.498235058530738,-0.9255037955371173,6.827803691081185,7.623262,2.6178112,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484953,0.38314168410801935,-3.1414497707279527,-22.796116222078954,23.83098941808057,10.883919754033741,-4.948644675241319,3.751963357262478,14.429891186209254,-21.942611668197337,7.508757125557776,6.9059124,2.1129901,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484958,-3.3161516198175494,-9.114279725369705,-19.069398817631942,22.94459459393308,18.838418990068092,-5.283636235897429,6.933467785058938,8.586637698224713,-18.471744048155486,5.781446872652428,7.043387,2.2337532,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484968,-15.46110145372501,15.237863833905838,-28.943699182576008,19.35304853900213,9.777210928969764,-2.624316952240559,1.3905978444632185,8.015993641693166,-18.283719413488445,3.203625623632882,7.5576806,2.9558818,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484980,-1.8983881503113715,-6.65835191331981,-21.805358586748884,21.941071831810607,17.272462587280007,-7.040404594681825,7.630217460870454,10.241297288681277,-21.74345646459604,3.56176718992255,7.1168733,2.4777734,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN04484998,-8.257317386603821,2.1304111789262947,-25.153496518738773,25.84842433214663,11.024021753202648,-4.5707399582311545,1.6841994894915562,8.528434530160872,-19.998080269163072,8.831211139316103,7.1719365,2.9143589,PRJNA311523,Pre-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2500,Lung
SAMN06200051,123.08551341980308,57.91303858212197,-4.764014249180088,-5.331501779158376,-0.6233377777716442,-0.879329839093968,18.633572721138737,-0.3172212229701882,9.326866996103167,-1.592775553946729,11.627534,0.5446516,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200052,140.86995027722332,49.71038723571553,-3.354905984985522,1.0736446676613736,5.778687504328103,-4.56441878964469,19.831776578130057,-6.488500739859668,-5.168088898806783,-9.755868354793954,11.884553,0.89333165,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200053,115.30823680996907,48.21719459465076,-12.911151992764506,0.98038743567384,-0.1983061790605048,-2.7508611399877823,10.404746567476495,-12.94471876587563,-3.328700499336277,-14.085457805481552,11.782964,0.6812908,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200054,128.20726278079047,42.659966930500424,-12.476733460885788,-1.4686358194852658,-8.499230864333514,11.051125213866452,21.370172150694078,-11.13706703540665,-2.4467651987564927,-12.627475006385424,11.981374,0.6466556,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200055,122.04661080612665,50.78788295375766,-9.491226724584543,-4.388191935286855,3.0866598847198774,-0.6853374568621027,17.74965889653802,-5.200001617954958,6.387038844197669,-13.004906185317763,12.192157,0.8423382,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200056,123.81529527321302,43.385580979101576,-10.3954700352225,1.5215527157945006,-2.1667056806471012,7.752964214882288,15.942811091674098,-5.581707407989277,-3.123287218254985,-7.410816176348985,12.0246315,0.937299,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200057,120.07265536960044,24.25851462993902,-4.065352952414735,4.998376788311968,10.619980422953171,-3.9816294399379415,11.36609275585656,-6.887745361736034,-8.70018824611376,-10.676938655624031,12.091262,0.5217409,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06200058,112.4216596374929,52.861677537860444,-11.083744154907038,1.7376512314543624,0.8029148644115879,1.8522029692811062,10.301345065457383,-9.333071975603165,-0.3595562209322338,-4.752374982392407,12.079094,1.0141122,PRJNA360048,Early childhood,Male,Landrace x Yorkshire,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06242667,0.5920459021174448,2.76364822145567,-10.137389620610922,-5.789667833122349,8.391936185323909,-14.134051486716864,-33.00894726354966,12.395576750261823,11.48650142254376,-2.019074613178976,7.7634315,1.8386179,PRJNA362606,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06242670,24.18009396045899,4.189488252617092,-13.714820556443769,-6.8873419679946775,0.15875968515309158,-23.00125684771107,-23.291086097317145,7.552185261721812,0.21452188236180827,-6.500784745317099,7.4035187,1.8962225,PRJNA362606,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06242673,1.686036745404821,19.68238878317301,-13.455398289414832,-9.226717142027526,2.13358235767146,-15.044337037539247,-38.07410107831599,10.170294915627208,-3.1674164936925853,-1.04854870024078,7.9380393,2.025987,PRJNA362606,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06242684,-31.64815684414519,27.443730912757378,-11.083723778739676,-29.015617846542046,-9.854152097077355,-20.96828924353364,-24.07365262492418,-0.7831519946900392,44.21218138578469,13.37003669634486,8.018379,2.1518762,PRJNA362606,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Lung
SAMN06242689,4.884471457800416,15.622740620537579,-13.31400546113727,-9.294426231242822,1.9090289740892137,-19.435696713781297,-35.31278086727528,12.894607716523273,4.644960782320185,-4.896254369164677,7.669093,1.9279141,PRJNA362606,Post-pubertal,Unknown,Unknown,ILLUMINA,Illumina HiSeq 2000,Lung
