Sample_ID,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,UMAP1,UMAP2,BioProject,Stage,Sex,Breed,Platform,Model,tissue
SAMEA104365477,19.67778147775099,4.404219442507153,67.63678081280563,32.57920240814311,-32.201612368200365,-0.05583514659823684,12.965668376150875,7.249774496774061,36.09304808326274,31.73087303290522,-15.6866,23.701082,PRJEB23289,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365478,29.043220593179353,16.221238409311784,64.61012808908981,33.81836805824657,-28.947594160373228,-0.40918197280453955,16.04462276857068,16.96679756267034,40.94311859556733,34.98502682798596,-15.671052,23.673754,PRJEB23289,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365479,26.63986557793484,17.073772336897203,75.2133237733581,30.89517136002861,-30.305611145743075,-5.795627581862111,10.30474699572736,17.657300159871788,41.13958785878042,39.12773021081291,-15.66028,23.708963,PRJEB23289,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365480,35.357855560044094,23.272274707238196,67.41260036741811,32.56599519240646,-26.130162225251905,-5.115809773873991,14.701360128789034,15.236210233768443,45.31114198486347,42.33504224237847,-15.7358,23.747793,PRJEB23289,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365482,28.165150574589024,17.568116657813988,66.95835370000907,28.922467617644873,-27.514291512963545,-6.737451994179846,15.040731277957754,11.075637087322761,47.017467776107075,33.71522655725542,-15.711232,23.701305,PRJEB23289,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365483,18.303685457067953,17.91355160391978,59.97351316307085,28.88573247548812,-26.605619021064484,-0.8030292131206554,18.45414154526403,17.17901323641748,36.44272625773596,30.145952387369633,-15.5913515,23.685738,PRJEB23289,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365484,8.34938248032153,8.905982855126272,64.66258391644492,35.137272423212565,-32.579372748941246,4.696604474307619,17.952720889391937,14.215277680319723,29.857214384347564,31.872033597305286,-15.662631,23.745743,PRJEB23289,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365488,11.331369939435913,6.036710542646087,60.021875726671645,49.996199210414694,-38.47422307327811,-2.619347322996943,22.808094365036172,10.724883874213601,36.774282744788955,36.071086088211636,-15.623071,23.656977,PRJEB23289,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365490,-4.132158429568695,-5.736883135565985,53.106153499299175,49.41459601223915,-44.8504243942808,-8.277828981599702,25.329732894711736,14.952732515200296,36.38753463221216,36.879624585554815,-15.607274,23.74357,PRJEB23289,Pre-pubertal,Female,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
SAMEA104365491,16.135821991328715,9.657862168384236,62.51343535889223,39.547900390807875,-34.39038221793667,-9.91829625403099,21.54130341796583,22.388332892825904,44.92172284055457,37.78623636595141,-15.580982,23.644295,PRJEB23289,Pre-pubertal,Male,Maxgro (Hermitage Genetics) x (German Landrace x Large White),ILLUMINA,Illumina HiSeq 2500,Muscle
