tissue,PC,R2_stage,R2_bioproject,R2_combined,n_projects,n_stages,n_samples
Muscle,PC1,0.4027,0.8028,0.884,56,5,761
Muscle,PC2,0.2417,0.75,0.7977,56,5,761
Muscle,PC3,0.1562,0.8618,0.8841,56,5,761
Muscle,PC4,0.2423,0.7184,0.7973,56,5,761
Muscle,PC5,0.0377,0.8456,0.8481,56,5,761
Brain,PC1,0.6481,0.9537,0.9563,6,4,43
Brain,PC2,0.3083,0.9216,0.9218,6,4,43
Brain,PC3,0.8028,0.9914,0.9942,6,4,43
Brain,PC4,0.1633,0.9225,0.943,6,4,43
Brain,PC5,0.1355,0.4775,0.5037,6,4,43
Liver,PC1,0.0163,0.935,0.936,34,5,309
Liver,PC2,0.1668,0.9617,0.9625,34,5,309
Liver,PC3,0.2157,0.9195,0.9203,34,5,309
Liver,PC4,0.1096,0.869,0.8798,34,5,309
Liver,PC5,0.2917,0.6405,0.778,34,5,309
Lung,PC1,0.3334,0.8809,0.9159,20,4,129
Lung,PC2,0.5626,0.8947,0.9143,20,4,129
Lung,PC3,0.2182,0.8134,0.8421,20,4,129
Lung,PC4,0.077,0.7522,0.8002,20,4,129
Lung,PC5,0.1188,0.9038,0.9043,20,4,129
Blood,PC1,0.545,0.8058,0.8172,7,5,78
Blood,PC2,0.3701,0.9539,0.9595,7,5,78
Blood,PC3,0.3443,0.7273,0.7457,7,5,78
Blood,PC4,0.1275,0.7942,0.8135,7,5,78
Blood,PC5,0.3274,0.914,0.9301,7,5,78
