tissue,ortholog,filter,n,pearson_r,pearson_p,spearman_r,spearman_p,dc
Muscle,strict_1to1,strict_bidirectional,215,0.5857641373362611,3.3730432967802666e-21,0.6074935400516795,4.4657005762090615e-23,82.32558139534883
Muscle,strict_1to1,pig_anchored,293,0.5036492226135536,2.9875303595456916e-20,0.5351844978488848,4.103842745140954e-23,75.08532423208192
Muscle,strict_1to1,pig_fdr_only,680,0.3625459190700262,1.4993302824385053e-22,0.3908407979205125,3.058315807114546e-26,63.38235294117647
Muscle,strict_1to1,fc_only,295,0.5011883605359486,3.625057505038888e-20,0.5331901427543075,4.53369237108301e-23,74.91525423728814
Muscle,strict_1to1,no_filter,1937,0.25870461670063616,5.4393481612407e-31,0.213362982604922,2.226376560914853e-21,55.34331440371709
Muscle,relaxed_symbol,strict_bidirectional,498,0.5773380851666391,1.3257559721787837e-45,0.5530030753125849,3.130070966947023e-41,80.52208835341365
Muscle,relaxed_symbol,pig_anchored,655,0.5311289026700511,5.9256944876463694e-49,0.5205864317204697,9.007542347190498e-47,76.03053435114504
Muscle,relaxed_symbol,pig_fdr_only,1492,0.39015194452240975,1.9676622151665504e-55,0.39589923228038687,3.6216955895641344e-57,63.94101876675603
Muscle,relaxed_symbol,fc_only,664,0.5263007235195805,1.3954024820239372e-48,0.5154604468976508,2.4077069907103613e-46,75.75301204819277
Muscle,relaxed_symbol,no_filter,4082,0.2937779487186119,4.5869409107244393e-82,0.24150292626464698,2.960332290023334e-55,56.51641352278295
Lung,strict_1to1,strict_bidirectional,81,0.6718410275903246,6.602703328393906e-12,0.6531391147244806,3.8829908804542335e-11,90.12345679012346
Lung,strict_1to1,pig_anchored,233,0.38307557720424634,1.4643216879814506e-09,0.3623905693241197,1.221331937524036e-08,70.3862660944206
Lung,strict_1to1,pig_fdr_only,770,0.260908567560696,1.8959246458691346e-13,0.2270260086566068,1.8551569196839497e-10,64.41558441558442
Lung,strict_1to1,fc_only,322,0.3412660746279633,3.1785922338221705e-10,0.2870529935278716,1.5912754164093773e-07,69.87577639751552
