tissue,stage,dimension,level,n_samples
Muscle,Adult,Breed,Unknown,5
Muscle,Early childhood,Breed,"Crossbreed (Yorkshire, Landrace, Duroc)",1
Muscle,Early childhood,Breed,Duroc,47
Muscle,Early childhood,Breed,Landrace,22
Muscle,Early childhood,Breed,Tongcheng,2
Muscle,Early childhood,Breed,Unknown,4
Muscle,Infant,Breed,Danbred x Newsham,18
Muscle,Infant,Breed,Duroc,5
Muscle,Infant,Breed,Enshi Black,2
Muscle,Infant,Breed,France,1
Muscle,Infant,Breed,Guizhou mini-pig,1
Muscle,Infant,Breed,Iberian,2
Muscle,Infant,Breed,Iberian x Duroc,2
Muscle,Infant,Breed,Landrace,89
Muscle,Infant,Breed,Lantang,1
Muscle,Infant,Breed,Large White,2
Muscle,Infant,Breed,Large white,7
Muscle,Infant,Breed,Mashen,1
Muscle,Infant,Breed,Meishan,2
Muscle,Infant,Breed,Min x Yorkshire,4
Muscle,Infant,Breed,Rongchang,3
Muscle,Infant,Breed,Tibetan,3
Muscle,Infant,Breed,Tongcheng,18
Muscle,Infant,Breed,Unknown,20
Muscle,Infant,Breed,Wujin,3
Muscle,Infant,Breed,Yorkshire,6
Muscle,Infant,Breed,Yorkshire x Min,4
Muscle,Post-pubertal,Breed,(Pietrain x Duroc) x (Landrace x Yorkshire),4
Muscle,Post-pubertal,Breed,Anqing six-end-white,6
Muscle,Post-pubertal,Breed,Chenghua,2
Muscle,Post-pubertal,Breed,Chinese Wuzhishan,1
Muscle,Post-pubertal,Breed,Dapulian,8
Muscle,Post-pubertal,Breed,Duroc,1
Muscle,Post-pubertal,Breed,Duroc x (Landrace x Yorkshire),1
Muscle,Post-pubertal,Breed,Duroc x Landrace x Dapulian (DLDPL),8
Muscle,Post-pubertal,Breed,Duroc x Pietrain,167
Muscle,Post-pubertal,Breed,France,2
Muscle,Post-pubertal,Breed,Guizhou mini-pig,1
Muscle,Post-pubertal,Breed,Hampshire,6
Muscle,Post-pubertal,Breed,Huainan,1
Muscle,Post-pubertal,Breed,Iberian x Landrace,9
Muscle,Post-pubertal,Breed,Landrace,29
Muscle,Post-pubertal,Breed,Landrace x Dapulian (LDPL),8
Muscle,Post-pubertal,Breed,Large white,60
Muscle,Post-pubertal,Breed,Mashen,1
Muscle,Post-pubertal,Breed,Pietrain,7
Muscle,Post-pubertal,Breed,Pulawska,12
Muscle,Post-pubertal,Breed,Qinyu,9
Muscle,Post-pubertal,Breed,Tibetan,3
Muscle,Post-pubertal,Breed,Tongcheng,3
Muscle,Post-pubertal,Breed,Unknown,30
Muscle,Post-pubertal,Breed,Wannanhua,3
Muscle,Post-pubertal,Breed,Wujin,3
Muscle,Post-pubertal,Breed,Yacha,3
Muscle,Post-pubertal,Breed,Yanan,2
Muscle,Post-pubertal,Breed,Yorkshire,6
Muscle,Pre-pubertal,Breed,(Large White x Landrace) x Meatline,23
