gene,ensembl_id,tissue,expected_window,expected_window_name,expected_direction,observed_max_change_window,observed_window_name,log2_fold_change,observed_direction,direction_match,window_match,expected_window_evaluable,well_covered_stages,anova_p,posthoc_p_adj,n_samples_used,reference,note_in_panel,status
IGF2,ENSSSCG00000035293,Muscle,T1,Infant -> Early childhood,down,T1,Infant -> Early childhood,-2.501542207459522,down,True,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",1.6565240320611702e-131,0.0,761,markerlit_igf2_2019,doi:10.1186/s12864-019-5950-4; porcine IGF2 declines postnatally.,OK
IGF1,ENSSSCG00000000857,Muscle,T1,Infant -> Early childhood,up,T1,Infant -> Early childhood,-1.466055328031015,down,False,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",2.752697533877184e-47,0.0,761,markerlit_igf1_2018,doi:10.1093/jas/sky258; weaning activates hepatic IGF1.,OK
MYH3,ENSSSCG00000018007,Muscle,T2,Early childhood -> Pre-pubertal,down,T1,Infant -> Early childhood,-2.6617305542436043,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",5.085118366074662e-68,0.0,761,markerlit_myh3_2020,PMID 32737368; MHCemb persistence into early postnatal pig muscle.,OK
MYH8,ENSSSCG00000018005,Muscle,T2,Early childhood -> Pre-pubertal,down,T1,Infant -> Early childhood,-2.247564482409512,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",8.56458528221698e-53,0.0,761,markerlit_myh8_2017,doi:10.1152/ajpregu.00130.2017; perinatal MHC neonatal isoform.,OK
MYH2,ENSSSCG00000029441,Muscle,T2,Early childhood -> Pre-pubertal,up,T1,Infant -> Early childhood,2.8713897782628415,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",3.0300890847490905e-63,0.0,761,markerlit_myh2_2018,doi:10.3389/fphys.2018.01411; postnatal fast-MHC accumulation.,OK
MSTN,ENSSSCG00000016047,Muscle,T2,Early childhood -> Pre-pubertal,up,T1,Infant -> Early childhood,-1.494564998950528,down,False,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",2.642437996931694e-20,0.0,761,markerlit_mstn_2019,doi:10.1093/jas/skz061; myostatin increases during growth.,OK
IGFBP5,ENSSSCG00000025924,Muscle,T2,Early childhood -> Pre-pubertal,up,T4,Post-pubertal -> Adult,1.153866127743668,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",1.7918776070658903e-75,0.3098,761,markerlit_igfbp5_2018,doi:10.1186/s12864-018-5168-x; IGFBP5 dynamics with growth.,OK
INSL3,ENSSSCG00000013887,Muscle,T3,Pre-pubertal -> Post-pubertal,up,T4,Post-pubertal -> Adult,1.078879746088636,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",4.819930346832016e-16,0.0,761,markerlit_insl3_2020,doi:10.1530/REP-19-0500; INSL3 surge at puberty.,OK
AR,ENSSSCG00000012371,Muscle,T3,Pre-pubertal -> Post-pubertal,up,T4,Post-pubertal -> Adult,2.1725811455347053,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",6.614533569261423e-42,0.0,761,markerlit_ar_2018,doi:10.1093/biolre/ioy099; androgen-driven AR upregulation.,OK
ESR1,ENSSSCG00000025777,Muscle,T3,Pre-pubertal -> Post-pubertal,up,T4,Post-pubertal -> Adult,0.9636229863901205,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",4.293198929380609e-23,0.0332,761,markerlit_esr1_2017,doi:10.1095/biolreprod.116.146043; ESR1 with pubertal estrogen.,OK
GHR,ENSSSCG00000016866,Muscle,T3,Pre-pubertal -> Post-pubertal,up,T4,Post-pubertal -> Adult,2.810299294304247,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",2.2527830064765592e-11,0.0004,761,markerlit_ghr_2018,doi:10.1093/jas/sky263; GH sensitivity peaks peri-puberty.,OK
CDKN2A,ENSSSCG00000005134,Muscle,T4,Post-pubertal -> Adult,up,T4,Post-pubertal -> Adult,0.17965669517222138,up,True,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",0.0015787527083744337,0.9076,761,markerlit_cdkn2a_2017,PMID 28235202; p16 accumulates with age.,OK
LMNA,ENSSSCG00000006496,Muscle,T4,Post-pubertal -> Adult,up,T4,Post-pubertal -> Adult,-0.7880208035554519,down,False,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",2.410832550849758e-59,0.4171,761,markerlit_lmna_2018,doi:10.1083/jcb.201708092; lamin A in adult tissue.,OK
SIRT1,ENSSSCG00000010235,Muscle,T4,Post-pubertal -> Adult,down,T1,Infant -> Early childhood,-1.0986514724189114,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",4.322252358036603e-30,0.0,761,markerlit_sirt1_2019,doi:10.1038/s41419-019-1646-6; SIRT1 declines with age.,OK
SIRT3,ENSSSCG00000014558,Muscle,T4,Post-pubertal -> Adult,down,T4,Post-pubertal -> Adult,1.1311130319439453,up,False,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",4.152209635128221e-43,0.0114,761,markerlit_sirt3_2018,doi:10.1038/s41598-018-26959-4; SIRT3 declines with age.,OK
MKI67,ENSSSCG00000026302,Muscle,T4,Post-pubertal -> Adult,down,T1,Infant -> Early childhood,-1.987987486050802,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",6.411709312132587e-115,0.0,761,markerlit_mki67_2020,doi:10.1038/s41419-020-2399-y; loss of proliferation markers.,OK
AFP,ENSSSCG00000008949,Liver,T1,Infant -> Early childhood,down,T4,Post-pubertal -> Adult,5.230079529820182,up,False,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",3.2942364602005456e-21,0.0,309,markerlit_afp_2021,"PMID 33857435; perinatal liver protein, postnatal silencing.",OK
ALB,ENSSSCG00000008948,Liver,T1,Infant -> Early childhood,up,T3,Pre-pubertal -> Post-pubertal,1.53030365994616,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",4.4777409619612873e-13,0.0,309,markerlit_alb_2020,PMID 32665583; reciprocal AFP/ALB switch around weaning.,OK
IGF2,ENSSSCG00000035293,Liver,T1,Infant -> Early childhood,down,T2,Early childhood -> Pre-pubertal,-1.304012979400894,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",1.1910162126988343e-08,0.0001,309,markerlit_igf2_2019,doi:10.1186/s12864-019-5950-4; porcine IGF2 declines postnatally.,OK
IGF1,ENSSSCG00000000857,Liver,T1,Infant -> Early childhood,up,T1,Infant -> Early childhood,-0.9252982503997966,down,False,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",2.219875299760487e-09,0.0001,309,markerlit_igf1_2018,doi:10.1093/jas/sky258; weaning activates hepatic IGF1.,OK
LCT,ENSSSCG00000015691,Liver,T1,Infant -> Early childhood,down,T1,Infant -> Early childhood,-0.046657169050715736,down,True,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",0.13907326571451634,0.7937,309,markerlit_lct_2018,doi:10.1152/ajpgi.00264.2017; lactase decline after weaning.,OK
IGFBP5,ENSSSCG00000025924,Liver,T2,Early childhood -> Pre-pubertal,up,T4,Post-pubertal -> Adult,-0.7531371346674416,down,False,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",7.519272720437513e-05,0.008,309,markerlit_igfbp5_2018,doi:10.1186/s12864-018-5168-x; IGFBP5 dynamics with growth.,OK
AR,ENSSSCG00000012371,Liver,T3,Pre-pubertal -> Post-pubertal,up,T3,Pre-pubertal -> Post-pubertal,0.8117803442603262,up,True,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",5.202451221163021e-05,0.0139,309,markerlit_ar_2018,doi:10.1093/biolre/ioy099; androgen-driven AR upregulation.,OK
ESR1,ENSSSCG00000025777,Liver,T3,Pre-pubertal -> Post-pubertal,up,T1,Infant -> Early childhood,0.7289074309369454,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",0.00024231281287373852,0.0001,309,markerlit_esr1_2017,doi:10.1095/biolreprod.116.146043; ESR1 with pubertal estrogen.,OK
GHR,ENSSSCG00000016866,Liver,T3,Pre-pubertal -> Post-pubertal,up,T3,Pre-pubertal -> Post-pubertal,1.8094076798245209,up,True,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",8.649018865716338e-16,0.0,309,markerlit_ghr_2018,doi:10.1093/jas/sky263; GH sensitivity peaks peri-puberty.,OK
CDKN2A,ENSSSCG00000005134,Liver,T4,Post-pubertal -> Adult,up,T1,Infant -> Early childhood,0.140253553940336,up,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",0.0004843260728129119,0.006,309,markerlit_cdkn2a_2017,PMID 28235202; p16 accumulates with age.,OK
SIRT1,ENSSSCG00000010235,Liver,T4,Post-pubertal -> Adult,down,T3,Pre-pubertal -> Post-pubertal,0.5495196632449963,up,False,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",0.0313176203678317,0.069,309,markerlit_sirt1_2019,doi:10.1038/s41419-019-1646-6; SIRT1 declines with age.,OK
SIRT3,ENSSSCG00000014558,Liver,T4,Post-pubertal -> Adult,down,T2,Early childhood -> Pre-pubertal,-0.5777544946245952,down,True,False,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",1.0127323153752613e-05,0.0,309,markerlit_sirt3_2018,doi:10.1038/s41598-018-26959-4; SIRT3 declines with age.,OK
MKI67,ENSSSCG00000026302,Liver,T4,Post-pubertal -> Adult,down,T4,Post-pubertal -> Adult,1.1730719415476714,up,False,True,True,"Infant,Early childhood,Pre-pubertal,Post-pubertal,Adult",1.2063564003632533e-14,0.0004,309,markerlit_mki67_2020,doi:10.1038/s41419-020-2399-y; loss of proliferation markers.,OK
HBM,ENSSSCG00000007977,Blood,T1,Infant -> Early childhood,down,T3,Pre-pubertal -> Post-pubertal,1.847859145016594,up,False,False,False,"Early childhood,Pre-pubertal,Post-pubertal",1.5716856156470645e-06,0.0021,78,markerlit_hbm_2020,doi:10.1186/s12864-020-06770-0; embryonic-fetal globin switch.,expected_window_not_evaluable
HBZ,ENSSSCG00000007975,Blood,T1,Infant -> Early childhood,down,T2,Early childhood -> Pre-pubertal,2.2135070536240558,up,False,False,False,"Early childhood,Pre-pubertal,Post-pubertal",7.856001296227654e-05,0.0107,78,markerlit_hbz_2020,doi:10.1186/s12864-020-06770-0; zeta-globin silenced after birth.,expected_window_not_evaluable
INSL3,ENSSSCG00000013887,Blood,T3,Pre-pubertal -> Post-pubertal,up,T2,Early childhood -> Pre-pubertal,-0.10798919206050561,down,False,False,True,"Early childhood,Pre-pubertal,Post-pubertal",0.2860390580265091,0.2553,78,markerlit_insl3_2020,doi:10.1530/REP-19-0500; INSL3 surge at puberty.,OK
CDKN2A,ENSSSCG00000005134,Blood,T4,Post-pubertal -> Adult,up,T2,Early childhood -> Pre-pubertal,-0.8235336457195539,down,False,False,False,"Early childhood,Pre-pubertal,Post-pubertal",2.644101698342847e-06,0.0001,78,markerlit_cdkn2a_2017,PMID 28235202; p16 accumulates with age.,expected_window_not_evaluable
CDKN2A,ENSSSCG00000005134,Lung,T4,Post-pubertal -> Adult,up,T1,Infant -> Early childhood,1.4723814788095255,up,True,False,False,"Infant,Early childhood,Pre-pubertal,Post-pubertal",8.940511439867481e-15,0.0,129,markerlit_cdkn2a_2017,PMID 28235202; p16 accumulates with age.,expected_window_not_evaluable
LMNA,ENSSSCG00000006496,Lung,T4,Post-pubertal -> Adult,up,T2,Early childhood -> Pre-pubertal,-1.5963516349418239,down,False,False,False,"Infant,Early childhood,Pre-pubertal,Post-pubertal",2.605537294448201e-10,0.0,129,markerlit_lmna_2018,doi:10.1083/jcb.201708092; lamin A in adult tissue.,expected_window_not_evaluable
