tissue,rank,ensembl,gene,importance,function,annotation_source,Infant_TPM,Early_childhood_TPM,Pre-pubertal_TPM,Post-pubertal_TPM,Adult_TPM,peak_stage,fold_change_peak_vs_trough
Muscle,1,ENSSSCG00000037539,SORCS2,1995.709947110464,VPS10 domain-containing receptor SorCS2.,uniprot_ensembl,3.379553768453942,1.7512507878663777,1.4707944473829189,0.5733148822557346,0.5134618853626154,Infant,2.8660918830913262
Muscle,2,ENSSSCG00000012669,ARHGAP36,1751.689865511842,GTPase activator for the Rho-type GTPases by converting them to an inactive GDP-bound state.,uniprot_ensembl,5.1195366957281285,0.6388843754135785,0.6491224875913635,0.3590300175374352,0.498796746006715,Infant,4.760506678190693
Muscle,3,ENSSSCG00000036512,FGFRL1,1749.9117274203647,Has a negative effect on cell proliferation.,uniprot_ensembl,5.9802175230803964,3.8264901619696468,3.4645124723020686,2.0002731887970375,2.490182218987394,Infant,3.979944334283359
Muscle,4,ENSSSCG00000012667,IGSF1,1164.6927786556382,Immunoglobulin superfamily member 1.,uniprot_ensembl,4.720393614310175,1.666852666538382,1.2446181218011478,0.6842580202927926,1.1536216410130302,Infant,4.036135594017383
Muscle,5,ENSSSCG00000016453,LOC100519808,552.3778205315272,TRPM8 channel associated factor 1.,uniprot_ensembl,5.722128261972835,2.95135496180585,2.648550035274863,2.0239394673096567,1.8243132143564182,Infant,3.897815047616417
Muscle,6,ENSSSCG00000004803,ACTC1,429.9447212760958,Actin alpha cardiac muscle 1.,uniprot_ensembl,12.174211513917696,6.920299543094405,7.187741713432579,4.993338032529225,2.0328868405368525,Infant,10.141324673380844
Muscle,7,ENSSSCG00000044722,LOC102158612,416.55493714598316,LOC102158612,none,1.679613214833573,6.379744806923972,6.387424637088457,6.570189596020876,5.145695861401329,Post-pubertal,4.890576381187303
Muscle,8,ENSSSCG00000004094,PPP1R14C,394.964376270771,Inhibitor of PPP1CA.,uniprot_ensembl,1.4511878996126348,6.063307584795448,4.817106685381455,5.26964072511591,5.051710382470264,Early childhood,4.612119685182813
Muscle,9,ENSSSCG00000030303,ACHE,384.20738843176514,Carboxylic ester hydrolase.,uniprot_ensembl,3.6563421524287167,2.7711240138452866,1.8577956466614092,1.0144611895308009,0.9876512542810486,Infant,2.668690898147668
Muscle,10,ENSSSCG00000044892,LOC110257362,359.6991695314646,LOC110257362,none,3.928030231398115,2.0659770451036286,1.6871247198184038,0.7600426047765731,1.0390865839944214,Infant,3.167987626621542
Muscle,11,ENSSSCG00000027613,TRDN,336.2372658569366,"Contributes to the regulation of lumenal Ca2+ release via the sarcoplasmic reticulum calcium release channels RYR1 and RYR2, a key step in triggering skeletal and heart muscle contraction. Required for normal organization of the triad junction, where T-tubules and the.",uniprot_ensembl,7.8219882092202555,8.116414204382334,9.283426304803784,9.910002652899898,9.353688954552211,Post-pubertal,2.0880144436796426
Muscle,12,ENSSSCG00000035805,DLK1,324.2080261496206,Delta like non-canonical Notch ligand 1.,uniprot_ensembl,6.734619678150936,1.8800452352201174,2.117428105527149,0.585459168921835,0.39441404623407383,Infant,6.340205631916862
Muscle,13,ENSSSCG00000042876,ENSSSCG00000042876,284.8589469343424,ENSSSCG00000042876,none,0.4975016452216721,0.27776053102531145,0.45081372322710606,1.7091556199869264,0.5135657949363029,Post-pubertal,1.431395088961615
Muscle,14,ENSSSCG00000012234,SRPX,277.9494722684224,Sushi repeat containing protein X-linked.,uniprot_ensembl,5.708749857702131,4.162977636274013,3.7746099531490414,2.25502327078849,1.1826013470619123,Infant,4.526148510640218
Muscle,15,ENSSSCG00000036501,WDR1,250.57115855192146,WD repeat-containing protein 1.,uniprot_ensembl,7.47403688139412,6.753093884261434,6.3421432404035825,5.349732694577219,5.292153004283582,Infant,2.181883877110538
Muscle,16,ENSSSCG00000012546,NRK,234.5386708577474,Nik related kinase.,uniprot_ensembl,5.737787471041813,1.4068238006494578,2.207035639269137,0.963756798425464,0.3616435265583273,Infant,5.376143944483485
Muscle,17,ENSSSCG00000004399,SLC22A16,207.71445279320082,Facilitative organic cation transporter that mediates the transport of carnitine as well as the polyamine spermidine. Mediates the partially Na(+)-dependent bidirectional transport of carnitine.,uniprot_ensembl,1.3453263700581004,4.312158063406428,4.199025421921449,5.521738307271683,4.462187367774884,Post-pubertal,4.176411937213582
Muscle,18,ENSSSCG00000044729,ENSSSCG00000044729,197.18701886261502,ENSSSCG00000044729,none,0.5235562061128103,0.8623155963803818,1.4255379304924929,1.77436790319555,0.5349787346429965,Post-pubertal,1.2508116970827396
Muscle,19,ENSSSCG00000017379,ETV4,195.0833543141683,ETS variant transcription factor 4.,uniprot_ensembl,4.0299250649187,3.6839241038162975,2.3677280617444643,1.8653938580752638,1.1024729551537344,Infant,2.9274521097649657
Muscle,20,ENSSSCG00000026087,GKAP1,186.29333818765977,G kinase anchoring protein 1.,uniprot_ensembl,4.075736470207158,3.978582524483022,4.6151006678118875,5.332207901916587,5.357518870891925,Adult,1.3789363464089024
Brain,1,ENSSSCG00000046117,ENSSSCG00000046117,216.87321853637695,ENSSSCG00000046117,none,0.014623602457946255,,0.059595881637272,0.6098836503233847,0.2925330048999695,Post-pubertal,0.5952600478654384
Brain,2,ENSSSCG00000023975,CCDC9B,52.98880195617676,Coiled-coil domain containing 9B.,uniprot_ensembl,2.9959109694029142,,4.4516356794396765,4.930675690782175,4.5493837354726825,Post-pubertal,1.9347647213792611
Brain,3,ENSSSCG00000048240,SAMD5,50.425689697265625,Sterile alpha motif domain-containing protein 5.,uniprot_ensembl,0.3141161901150225,,0.3880662616152635,1.40227551154665,1.3113992844043305,Post-pubertal,1.0881593214316276
Brain,4,ENSSSCG00000038527,ENSSSCG00000038527,45.592599868774414,Uncharacterized protein.,uniprot_ensembl,0.35301700036805506,,0.4732423169564414,0.9853271793935942,1.069089951578893,Adult,0.7160729512108379
Brain,5,ENSSSCG00000045405,ENSSSCG00000045405,42.46760082244873,ENSSSCG00000045405,none,0.11255117129377343,,0.09532784564173881,0.623882010667031,0.39342725749831187,Post-pubertal,0.5285541650252922
