config,ortholog,filter,statistic,n_tissues_with_r,mean_r,min_r,max_r,min_n,max_n,Muscle_n,Muscle_r,Muscle_p,Muscle_dc,Muscle_cilo,Muscle_cihi,Lung_n,Lung_r,Lung_p,Lung_dc,Lung_cilo,Lung_cihi,Testis_n,Testis_r,Testis_p,Testis_dc,Testis_cilo,Testis_cihi,Spleen_n,Spleen_r,Spleen_p,Spleen_dc,Spleen_cilo,Spleen_cihi,Adipose Tissue_n,Adipose Tissue_r,Adipose Tissue_p,Adipose Tissue_dc,Adipose Tissue_cilo,Adipose Tissue_cihi
strict_1to1 | strict_bidirectional | pearson,strict_1to1,strict_bidirectional,pearson,4,0.40444971403965757,-0.008270888858380416,0.6718410275903246,13,320,215,0.5857641373362611,3.3730432967802666e-21,82.32558139534883,0.4575343563614292,0.7046461242644372,81,0.6718410275903246,6.602703328393906e-12,90.12345679012346,0.4946239102656237,0.7989030989909349,320,0.36846458009042515,1.0002597287601782e-11,75.625,0.24826551990063345,0.4830509124730304,0,,,,,,13,-0.008270888858380416,0.9786062379485342,84.61538461538461,-0.8187121081823249,0.8979883335090428
strict_1to1 | strict_bidirectional | spearman,strict_1to1,strict_bidirectional,spearman,4,0.3894683151523143,-0.13736263736263735,0.6531391147244806,13,320,215,0.6074935400516795,4.4657005762090615e-23,82.32558139534883,0.4575343563614292,0.7046461242644372,81,0.6531391147244806,3.8829908804542335e-11,90.12345679012346,0.4946239102656237,0.7989030989909349,320,0.4346032431957343,3.5577930351051234e-16,75.625,0.24826551990063345,0.4830509124730304,0,,,,,,13,-0.13736263736263735,0.6545168402947126,84.61538461538461,-0.8187121081823249,0.8979883335090428
strict_1to1 | pig_anchored | pearson,strict_1to1,pig_anchored,pearson,5,0.3243674321056468,0.1297396436261215,0.5036492226135536,233,357,293,0.5036492226135536,2.9875303595456916e-20,75.08532423208192,0.3975811468406846,0.6034029456421276,233,0.38307557720424634,1.4643216879814506e-09,70.3862660944206,0.23824820619489873,0.5051858076619247,357,0.35710739014548526,3.5428839507195674e-12,74.2296918767507,0.25362195248621666,0.47179903837195497,256,0.2482653269388274,5.9230126619146456e-05,44.140625,0.0681623999040891,0.4063183886109253,264,0.1297396436261215,0.035123679275211574,60.60606060606061,-0.005796444386623384,0.2675148067368207
strict_1to1 | pig_anchored | spearman,strict_1to1,pig_anchored,spearman,5,0.35589176052738225,0.16189435788402715,0.5351844978488848,233,357,293,0.5351844978488848,4.103842745140954e-23,75.08532423208192,0.3975811468406846,0.6034029456421276,233,0.3623905693241197,1.221331937524036e-08,70.3862660944206,0.23824820619489873,0.5051858076619247,357,0.4197397495185382,1.143215707652541e-16,74.2296918767507,0.25362195248621666,0.47179903837195497,256,0.30024962806134126,9.887439899322487e-07,44.140625,0.0681623999040891,0.4063183886109253,264,0.16189435788402715,0.008403878467589299,60.60606060606061,-0.005796444386623384,0.2675148067368207
strict_1to1 | pig_fdr_only | pearson,strict_1to1,pig_fdr_only,pearson,5,0.23137928928841225,0.0656156325261517,0.3625459190700262,539,1285,680,0.3625459190700262,1.4993302824385053e-22,63.38235294117647,0.2795023071859639,0.43865581705082324,770,0.260908567560696,1.8959246458691346e-13,64.41558441558442,0.17964433952480952,0.3409734699799317,539,0.3193599258806028,3.030676392777969e-14,68.27458256029685,0.22440658266710503,0.411313386319725,884,0.14846640140458467,9.31187242771898e-06,43.55203619909502,0.03957625144613336,0.2490001829514994,1285,0.0656156325261517,0.018654557842724673,58.599221789883266,0.0022221558793661623,0.13638955535627367
strict_1to1 | pig_fdr_only | spearman,strict_1to1,pig_fdr_only,spearman,5,0.22994939846214643,0.03310761986142067,0.39353078620205534,539,1285,680,0.3908407979205125,3.058315807114546e-26,63.38235294117647,0.2795023071859639,0.43865581705082324,770,0.2270260086566068,1.8551569196839497e-10,64.41558441558442,0.17964433952480952,0.3409734699799317,539,0.39353078620205534,2.074583973180394e-21,68.27458256029685,0.22440658266710503,0.411313386319725,884,0.1052417796701367,0.0017282869867259493,43.55203619909502,0.03957625144613336,0.2490001829514994,1285,0.03310761986142067,0.23563195644003473,58.599221789883266,0.0022221558793661623,0.13638955535627367
strict_1to1 | fc_only | pearson,strict_1to1,fc_only,pearson,5,0.2639819077006453,0.12372250701052746,0.5011883605359486,290,1156,295,0.5011883605359486,3.625057505038888e-20,74.91525423728814,0.3764334424162684,0.6040731210492737,322,0.3412660746279633,3.1785922338221705e-10,69.87577639751552,0.21080579169924554,0.4526817378015401,1156,0.12372250701052746,2.462269571851211e-05,49.826989619377166,0.06430762714976589,0.1841927771871152,505,0.22967445348575904,1.8045479313487989e-07,45.34653465346535,0.12025415434986719,0.3296023502918896,290,0.12405814284302809,0.03471444008293747,58.96551724137931,0.0031670520954212144,0.2559444348000447
strict_1to1 | fc_only | spearman,strict_1to1,fc_only,spearman,5,0.26923587279651173,0.1496326231212122,0.5331901427543075,290,1156,295,0.5331901427543075,4.53369237108301e-23,74.91525423728814,0.3764334424162684,0.6040731210492737,322,0.2870529935278716,1.5912754164093773e-07,69.87577639751552,0.21080579169924554,0.4526817378015401,1156,0.1496326231212122,3.2079058467518145e-07,49.826989619377166,0.06430762714976589,0.1841927771871152,505,0.21693305976560393,8.58344547730718e-07,45.34653465346535,0.12025415434986719,0.3296023502918896,290,0.1593705448135633,0.006534808002332248,58.96551724137931,0.0031670520954212144,0.2559444348000447
strict_1to1 | no_filter | pearson,strict_1to1,no_filter,pearson,5,0.15005827396698207,0.06009068980889022,0.25870461670063616,1937,3494,1937,0.25870461670063616,5.4393481612407e-31,55.34331440371709,0.20043791633313804,0.31659096071317405,3494,0.1590139279548875,3.193836854897104e-21,57.727532913566115,0.11581484274553619,0.2080796345918234,3454,0.15418221377969604,8.038517674187992e-20,48.23393167342212,0.11824312523859228,0.1899627827623041,3360,0.11829992159080047,6.030359964764005e-12,45.38690476190476,0.0726684463835705,0.16454888268974438,2748,0.06009068980889022,0.0016246138402039453,53.82096069868996,0.012876480657490988,0.10778200129298819
strict_1to1 | no_filter | spearman,strict_1to1,no_filter,spearman,5,0.12620404780442715,0.03617538095616116,0.213362982604922,1937,3494,1937,0.213362982604922,2.226376560914853e-21,55.34331440371709,0.20043791633313804,0.31659096071317405,3494,0.11798541971508879,2.6322682651068527e-12,57.727532913566115,0.11581484274553619,0.2080796345918234,3454,0.19913390366847827,3.167790123053302e-32,48.23393167342212,0.11824312523859228,0.1899627827623041,3360,0.06436255207748554,0.00018899411785547432,45.38690476190476,0.0726684463835705,0.16454888268974438,2748,0.03617538095616116,0.05794406920518983,53.82096069868996,0.012876480657490988,0.10778200129298819
relaxed_symbol | strict_bidirectional | pearson,relaxed_symbol,strict_bidirectional,pearson,4,0.4888167416089639,0.3427421396044128,0.5773380851666391,26,688,498,0.5773380851666391,1.3257559721787837e-45,80.52208835341365,0.4964333885873783,0.6511568989181696,168,0.5589614828991807,3.4294333054236932e-15,83.33333333333333,0.42206428810225005,0.66990434942769,688,0.4762252587656229,3.08755626161442e-40,78.92441860465117,0.402751922342743,0.5461534996119807,0,,,,,,26,0.3427421396044128,0.08651830757176487,84.61538461538461,-0.20988834376340365,0.7981621698213113
