Gene_Symbol,Tissue,Stage,Expression_mean,Expression_sd,n_samples,Expression_sem,Log2_Expression_mean,Log2_Expression_sem
MBP,Brain,Adult,57.11705,8.74712301531195,2,6.18515,5.86088956904903,0.15353988600857
MBP,Brain,Early childhood_21_59d,85.3847954732143,59.7866929560089,112,5.6493114740206,6.432705501886,0.0943480111674723
MBP,Brain,Infant_0_20d,33.7195422291667,25.4789480584493,48,3.67756938005355,5.11767602112411,0.152813394603783
MBP,Brain,Post_pubertal_150_365d,86.4628863,134.148312679213,20,29.9964746217618,6.4505990534367,0.494790041944538
MBP,Brain,Pre_pubertal_60_149d,22.6857072105263,22.9124747663414,19,5.25648221331094,4.56594484360156,0.320172024177286
ALB,Liver,Adult,5.18228313793104,3.14165186522922,29,0.583390105548307,2.6281397286599,0.136139674194848
ALB,Liver,Early childhood_21_59d,1.81586587931034,2.12731538857883,58,0.279330195241881,1.49357861953562,0.143113452386698
ALB,Liver,Infant_0_20d,3.20877047126437,1.93205370776125,87,0.207137899807067,2.07339883327175,0.0710033542746362
ALB,Liver,Post_pubertal_150_365d,3.11977480769231,1.64973268562118,52,0.22877676110831,2.0425654799559,0.080114839797877
ALB,Liver,Pre_pubertal_60_149d,2.6371025060241,4.31206890781113,83,0.473311052690441,1.86278958646129,0.187743817333563
HBB,Blood,Adult,133309.8125,,1,,17.0244342729245,
HBB,Blood,Early childhood_21_59d,19592.516775,53769.2772013372,64,6721.15965016715,14.2580887449191,0.494887355224118
HBB,Blood,Infant_0_20d,435787.90625,,1,,18.7332699450948,
HBB,Blood,Post_pubertal_150_365d,12964.4523646053,20767.4215304792,38,3368.92063389593,13.6623849222457,0.374867374850606
HBB,Blood,Pre_pubertal_60_149d,139970.559710526,139425.393131256,19,31986.3788853986,17.0947741956589,0.329685475316523
SFTPC,Lung,Early childhood_21_59d,79.3598054615385,83.8631759121177,26,16.4469219402982,6.3284021664248,0.295270659067394
SFTPC,Lung,Infant_0_20d,73.2545944666667,24.4621291956948,30,4.46615332169592,6.21440838961163,0.0867730447568859
SFTPC,Lung,Post_pubertal_150_365d,67.3293758888889,44.9072688754325,27,8.64240792460062,6.09443404438223,0.182474358823879
SFTPC,Lung,Pre_pubertal_60_149d,38.7241236304348,23.241517350375,46,3.42677478214728,5.3119434869477,0.124453116459932
LGR5,Small intestine,Adult,10.3025371428571,3.83462875069047,14,1.02484764218262,3.49857475359515,0.130815107471513
LGR5,Small intestine,Early childhood_21_59d,42.0322488617021,41.8546654367871,94,4.31697911865558,5.42734633226509,0.144730627165723
LGR5,Small intestine,Infant_0_20d,331.054513538462,931.52696312474,13,258.359094617193,8.37527629868288,1.12250660471632
LGR5,Small intestine,Post_pubertal_150_365d,64.5362841428571,13.9164173101937,14,3.71931897329393,6.0342219703825,0.0818759120758025
LGR5,Small intestine,Pre_pubertal_60_149d,40.4279158461539,9.09193853682651,13,2.52165004522269,5.3725313379887,0.0878145072180347
DMRT1,Testis,Adult,1.99933666666667,0.598648481275392,3,0.345629861814308,1.5846434695457,0.166249588838857
DMRT1,Testis,Early childhood_21_59d,20.744289,4.00725413838529,6,1.63595465145003,4.44256463087058,0.1085426919577
DMRT1,Testis,Infant_0_20d,4.89506375,5.00205664412502,16,1.25051416103126,2.55950741478461,0.306037501067094
DMRT1,Testis,Post_pubertal_150_365d,7.61461409090909,5.32552058309955,22,1.13540480328337,3.10678616945059,0.190146983000322
DMRT1,Testis,Pre_pubertal_60_149d,3.201411,0.978197005214185,10,0.309333053683243,2.07087392332943,0.106219853885243
