tissue,source,term_id,term_name,p_value,term_size,query_size,intersection_size,gene_ratio,fold_enrichment,intersection
Blood,REAC,REAC:R-SSC-181430,Norepinephrine Neurotransmitter Release Cycle,0.11106137323997736,13,11,1,0.09090909090909091,54.5034965034965,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-112311,Neurotransmitter clearance,0.11106137323997736,8,11,1,0.09090909090909091,88.56818181818181,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-9793528,Ciprofloxacin ADME,0.11106137323997736,4,11,1,0.09090909090909091,177.13636363636363,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-451308,Activation of Ca-permeable Kainate Receptor,0.11106137323997736,10,11,1,0.09090909090909091,70.85454545454546,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-2161517,Abacavir transmembrane transport,0.11106137323997736,2,11,1,0.09090909090909091,354.27272727272725,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-2161522,Abacavir ADME,0.11106137323997736,5,11,1,0.09090909090909091,141.70909090909092,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-8849932,Synaptic adhesion-like molecules,0.11106137323997736,12,11,1,0.09090909090909091,59.045454545454554,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-549132,Organic cation/anion/zwitterion transport,0.11106137323997736,13,11,1,0.09090909090909091,54.5034965034965,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-549127,Organic cation transport,0.11106137323997736,8,11,1,0.09090909090909091,88.56818181818181,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-451306,Ionotropic activity of kainate receptors,0.11106137323997736,10,11,1,0.09090909090909091,70.85454545454546,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-5656169,Termination of translesion DNA synthesis,0.11677500388832912,29,11,1,0.09090909090909091,24.432601880877744,ENSSSCG00000004554
Blood,REAC,REAC:R-SSC-2129379,Molecules associated with elastic fibres,0.11677500388832912,29,11,1,0.09090909090909091,24.432601880877744,ENSSSCG00000025858
Blood,REAC,REAC:R-SSC-442660,Na+/Cl- dependent neurotransmitter transporters,0.11677500388832912,17,11,1,0.09090909090909091,41.67914438502674,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-438066,"Unblocking of NMDA receptors, glutamate binding and activation",0.11677500388832912,19,11,1,0.09090909090909091,37.291866028708135,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-442755,Activation of NMDA receptors and postsynaptic events,0.11677500388832912,28,11,1,0.09090909090909091,25.305194805194805,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-5365859,RA biosynthesis pathway,0.11677500388832912,21,11,1,0.09090909090909091,33.740259740259745,ENSSSCG00000038287
Blood,REAC,REAC:R-SSC-451326,Activation of kainate receptors upon glutamate binding,0.11677500388832912,27,11,1,0.09090909090909091,26.242424242424242,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-112315,Transmission across Chemical Synapses,0.11677500388832912,176,11,2,0.18181818181818182,8.051652892561984,"ENSSSCG00000004041,ENSSSCG00000012375"
Blood,REAC,REAC:R-SSC-9006931,Signaling by Nuclear Receptors,0.11677500388832912,189,11,2,0.18181818181818182,7.4978354978354975,"ENSSSCG00000002885,ENSSSCG00000038287"
Blood,REAC,REAC:R-SSC-70263,Gluconeogenesis,0.11677500388832912,23,11,1,0.09090909090909091,30.80632411067194,ENSSSCG00000012087
Blood,REAC,REAC:R-SSC-6794361,Neurexins and neuroligins,0.11677500388832912,25,11,1,0.09090909090909091,28.34181818181818,ENSSSCG00000012375
Blood,REAC,REAC:R-SSC-1566948,Elastic fibre formation,0.12284633263411697,35,11,1,0.09090909090909091,20.24415584415584,ENSSSCG00000025858
Blood,REAC,REAC:R-SSC-5362517,Signaling by Retinoic Acid,0.12284633263411697,35,11,1,0.09090909090909091,20.24415584415584,ENSSSCG00000038287
Blood,REAC,REAC:R-SSC-110313,Translesion synthesis by Y family DNA polymerases bypasses lesions on DNA template,0.12284633263411697,34,11,1,0.09090909090909091,20.83957219251337,ENSSSCG00000004554
Blood,REAC,REAC:R-SSC-70326,Glucose metabolism,0.12451226552072592,37,11,1,0.09090909090909091,19.14987714987715,ENSSSCG00000012087
Blood,REAC,REAC:R-SSC-112316,Neuronal System,0.1274268664134457,273,11,2,0.18181818181818182,5.1908091908091905,"ENSSSCG00000004041,ENSSSCG00000012375"
Blood,REAC,REAC:R-SSC-112310,Neurotransmitter release cycle,0.1274268664134457,41,11,1,0.09090909090909091,17.28159645232816,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-73893,DNA Damage Bypass,0.12870540920626458,43,11,1,0.09090909090909091,16.477801268498943,ENSSSCG00000004554
Blood,REAC,REAC:R-SSC-6794362,Protein-protein interactions at synapses,0.12988126275459613,45,11,1,0.09090909090909091,15.745454545454546,ENSSSCG00000012375
Blood,GO:BP,GO:0015870,acetylcholine transport,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000004041
Blood,GO:BP,GO:1901374,acetate ester transport,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000004041
Blood,GO:BP,GO:0015848,spermidine transport,0.16414235828933885,4,27,1,0.037037037037037035,177.35185185185185,ENSSSCG00000004041
Blood,GO:BP,GO:1903711,spermidine transmembrane transport,0.16414235828933885,3,27,1,0.037037037037037035,236.4691358024691,ENSSSCG00000004041
Blood,GO:BP,GO:0015760,glucose-6-phosphate transport,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000012087
Blood,GO:BP,GO:0071934,thiamine transmembrane transport,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000004041
Blood,GO:BP,GO:0015712,hexose phosphate transport,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000012087
Blood,GO:BP,GO:0045990,carbon catabolite regulation of transcription,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000002885
Blood,GO:BP,GO:0046016,positive regulation of transcription by glucose,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000002885
Blood,GO:BP,GO:0009757,hexose mediated signaling,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000002885
Blood,GO:BP,GO:0034499,late endosome to Golgi transport,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000012400
Blood,GO:BP,GO:0050861,positive regulation of B cell receptor signaling pathway,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000037425
Blood,GO:BP,GO:0009644,response to high light intensity,0.16414235828933885,4,27,1,0.037037037037037035,177.35185185185185,ENSSSCG00000038287
Blood,GO:BP,GO:1900749,(R)-carnitine transport,0.16414235828933885,3,27,1,0.037037037037037035,236.4691358024691,ENSSSCG00000004041
Blood,GO:BP,GO:0010255,glucose mediated signaling pathway,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000002885
Blood,GO:BP,GO:2000642,negative regulation of early endosome to late endosome transport,0.16414235828933885,2,27,1,0.037037037037037035,354.7037037037037,ENSSSCG00000012400
Blood,GO:BP,GO:0010182,sugar mediated signaling pathway,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000002885
Blood,GO:BP,GO:0009756,carbohydrate mediated signaling,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000002885
Blood,GO:BP,GO:0045110,intermediate filament bundle assembly,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000000528
Blood,GO:BP,GO:0045991,carbon catabolite activation of transcription,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000002885
Blood,GO:BP,GO:0015847,putrescine transport,0.16414235828933885,3,27,1,0.037037037037037035,236.4691358024691,ENSSSCG00000004041
Blood,GO:BP,GO:0086073,bundle of His cell-Purkinje myocyte adhesion involved in cell communication,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000000528
Blood,GO:BP,GO:0002159,desmosome assembly,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000000528
Blood,GO:BP,GO:1902616,O-acyl-L-carnitine transmembrane transport,0.16414235828933885,2,27,1,0.037037037037037035,354.7037037037037,ENSSSCG00000004041
Blood,GO:BP,GO:1902270,(R)-carnitine transmembrane transport,0.16414235828933885,3,27,1,0.037037037037037035,236.4691358024691,ENSSSCG00000004041
Blood,GO:BP,GO:1902603,carnitine transmembrane transport,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000004041
Blood,GO:BP,GO:0002001,renin secretion into blood stream,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000022105
Blood,GO:BP,GO:0001999,renal response to blood flow involved in circulatory renin-angiotensin regulation of systemic arterial blood pressure,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000022105
Blood,GO:BP,GO:0048241,epinephrine transport,0.16414235828933885,7,27,1,0.037037037037037035,101.34391534391534,ENSSSCG00000004041
Blood,GO:BP,GO:0048496,maintenance of animal organ identity,0.16414235828933885,4,27,1,0.037037037037037035,177.35185185185185,ENSSSCG00000000528
Blood,GO:BP,GO:0000436,carbon catabolite activation of transcription from RNA polymerase II promoter,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000002885
Blood,GO:BP,GO:2000210,positive regulation of anoikis,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000017667
Blood,GO:BP,GO:0000432,positive regulation of transcription from RNA polymerase II promoter by glucose,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000002885
Blood,GO:BP,GO:0060177,regulation of angiotensin metabolic process,0.16414235828933885,2,27,1,0.037037037037037035,354.7037037037037,ENSSSCG00000022105
Blood,GO:BP,GO:0086042,cardiac muscle cell-cardiac muscle cell adhesion,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000000528
Blood,GO:BP,GO:0000429,carbon catabolite regulation of transcription from RNA polymerase II promoter,0.16414235828933885,6,27,1,0.037037037037037035,118.23456790123456,ENSSSCG00000002885
Blood,GO:BP,GO:0000430,regulation of transcription from RNA polymerase II promoter by glucose,0.16414235828933885,5,27,1,0.037037037037037035,141.88148148148147,ENSSSCG00000002885
Blood,GO:BP,GO:0015888,thiamine transport,0.17340427997625457,8,27,1,0.037037037037037035,88.67592592592592,ENSSSCG00000004041
Blood,GO:BP,GO:0046015,regulation of transcription by glucose,0.17340427997625457,8,27,1,0.037037037037037035,88.67592592592592,ENSSSCG00000002885
Blood,GO:BP,GO:0015879,carnitine transport,0.17340427997625457,8,27,1,0.037037037037037035,88.67592592592592,ENSSSCG00000004041
Blood,REAC,REAC:R-SSC-425366,"Transport of bile salts and organic acids, metal ions and amine compounds",0.17905575214713085,65,11,1,0.09090909090909091,10.900699300699301,ENSSSCG00000004041
Blood,GO:BP,GO:0015838,amino-acid betaine transport,0.18134658906789136,9,27,1,0.037037037037037035,78.8230452674897,ENSSSCG00000004041
Blood,GO:BP,GO:0001991,regulation of systemic arterial blood pressure by circulatory renin-angiotensin,0.18134658906789136,9,27,1,0.037037037037037035,78.8230452674897,ENSSSCG00000022105
Blood,GO:BP,GO:0035435,phosphate ion transmembrane transport,0.18134658906789136,9,27,1,0.037037037037037035,78.8230452674897,ENSSSCG00000012087
Blood,GO:BP,GO:0009642,response to light intensity,0.1967832995339372,10,27,1,0.037037037037037035,70.94074074074074,ENSSSCG00000038287
Blood,GO:BP,GO:1902047,polyamine transmembrane transport,0.20250762289431376,11,27,1,0.037037037037037035,64.49158249158248,ENSSSCG00000004041
Blood,GO:BP,GO:0002934,desmosome organization,0.20250762289431376,11,27,1,0.037037037037037035,64.49158249158248,ENSSSCG00000000528
Blood,GO:BP,GO:0015874,norepinephrine transport,0.20250762289431376,11,27,1,0.037037037037037035,64.49158249158248,ENSSSCG00000004041
Blood,GO:BP,GO:0042574,retinal metabolic process,0.20423898751774677,12,27,1,0.037037037037037035,59.11728395061728,ENSSSCG00000038287
Blood,GO:BP,GO:0098911,regulation of ventricular cardiac muscle cell action potential,0.20423898751774677,12,27,1,0.037037037037037035,59.11728395061728,ENSSSCG00000000528
Blood,GO:BP,GO:0051610,serotonin uptake,0.20423898751774677,12,27,1,0.037037037037037035,59.11728395061728,ENSSSCG00000004041
Blood,GO:BP,GO:0045117,azole transmembrane transport,0.20423898751774677,13,27,1,0.037037037037037035,54.56980056980056,ENSSSCG00000004041
Blood,GO:BP,GO:0010955,negative regulation of protein processing,0.20423898751774677,13,27,1,0.037037037037037035,54.56980056980056,ENSSSCG00000012400
Blood,GO:BP,GO:0015846,polyamine transport,0.20423898751774677,13,27,1,0.037037037037037035,54.56980056980056,ENSSSCG00000004041
Blood,GO:BP,GO:0015697,quaternary ammonium group transport,0.20423898751774677,13,27,1,0.037037037037037035,54.56980056980056,ENSSSCG00000004041
Blood,GO:BP,GO:1903318,negative regulation of protein maturation,0.20423898751774677,13,27,1,0.037037037037037035,54.56980056980056,ENSSSCG00000012400
Blood,GO:BP,GO:0090493,catecholamine uptake,0.2087705424203226,15,27,1,0.037037037037037035,47.29382716049383,ENSSSCG00000004041
Blood,GO:BP,GO:0003071,renal system process involved in regulation of systemic arterial blood pressure,0.2087705424203226,15,27,1,0.037037037037037035,47.29382716049383,ENSSSCG00000022105
Blood,GO:BP,GO:0072531,pyrimidine-containing compound transmembrane transport,0.2087705424203226,15,27,1,0.037037037037037035,47.29382716049383,ENSSSCG00000004041
Blood,GO:BP,GO:0090494,dopamine uptake,0.2087705424203226,14,27,1,0.037037037037037035,50.67195767195767,ENSSSCG00000004041
Blood,GO:BP,GO:0086069,bundle of His cell to Purkinje myocyte communication,0.2087705424203226,15,27,1,0.037037037037037035,47.29382716049383,ENSSSCG00000000528
Blood,GO:BP,GO:0002281,macrophage activation involved in immune response,0.2087705424203226,15,27,1,0.037037037037037035,47.29382716049383,ENSSSCG00000022105
Blood,GO:BP,GO:2000811,negative regulation of anoikis,0.2087705424203226,14,27,1,0.037037037037037035,50.67195767195767,ENSSSCG00000017667
Blood,REAC,REAC:R-SSC-6809371,Formation of the cornified envelope,0.21374772132038108,81,11,1,0.09090909090909091,8.74747474747475,ENSSSCG00000000528
