term_id,term_name,source,n_tissues,tissues,mean_p_value,mean_fold_enrichment
GO:0031032,actomyosin structure organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.2844622305440384,5.8181498750766965
GO:0030048,actin filament-based movement,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.31340338938076784,7.5441468555408475
GO:0065008,regulation of biological quality,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.3218724147302486,1.7505300437367786
REAC:R-SSC-112315,Transmission across Chemical Synapses,REAC,5,"Blood, Brain, Liver, Lung, Muscle",0.34151453261321585,4.1929979546733875
GO:0030029,actin filament-based process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.3542950777636981,2.534708805085156
REAC:R-SSC-112316,Neuronal System,REAC,5,"Blood, Brain, Liver, Lung, Muscle",0.36902042390065515,3.0036987006801246
GO:0008064,regulation of actin polymerization or depolymerization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4024745540552109,4.247954288842817
GO:0030832,regulation of actin filament length,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4024745540552109,4.247954288842817
GO:0051179,localization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.42088988387050225,1.3110465786131282
GO:0030036,actin cytoskeleton organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.42248394249656634,2.361210831809842
GO:0007010,cytoskeleton organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4233540903266391,1.7010141176265696
GO:0007015,actin filament organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.42816433926464925,2.513178914733528
GO:0006810,transport,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4324440609401355,1.393011369909216
GO:0008154,actin polymerization or depolymerization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4377300133170514,3.4682664763336923
GO:0048468,cell development,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.44487538493564616,1.496137197049934
GO:0048871,multicellular organismal-level homeostasis,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4467374872422861,2.293388649697736
GO:0042592,homeostatic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.44735951982719496,1.5852294593600662
GO:0097435,supramolecular fiber organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.44819911232864607,1.8927479883149512
GO:0055085,transmembrane transport,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4483436489179577,1.6373300372913941
GO:0010557,positive regulation of macromolecule biosynthetic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.452267765576056,1.453516626153678
GO:0051234,establishment of localization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.45522466006220247,1.3275982533209558
REAC:R-SSC-382551,Transport of small molecules,REAC,5,"Blood, Brain, Liver, Lung, Muscle",0.45870664208760825,1.8431106994485913
GO:0032970,regulation of actin filament-based process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4611805401786481,2.767373010267238
GO:0010628,positive regulation of gene expression,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4661027234649297,1.699086183965359
GO:0009891,positive regulation of biosynthetic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.46704676839062337,1.4078998418806667
GO:0042391,regulation of membrane potential,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4679674614292183,2.484950271261085
GO:0006996,organelle organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4685477302885591,1.3307970625188872
GO:0010468,regulation of gene expression,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.47455247767350456,1.2700494899261079
GO:0048518,positive regulation of biological process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.48369551739500594,1.2013908044817787
GO:0060255,regulation of macromolecule metabolic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4844193504428362,1.2161853461040724
GO:0009607,response to biotic stimulus,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.48654443531382435,1.8262748908285735
GO:0009889,regulation of biosynthetic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4865713644023738,1.2406194247578017
GO:0019222,regulation of metabolic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4880333934111867,1.1979895728111742
GO:0010556,regulation of macromolecule biosynthetic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.48819511927313636,1.2485485345358704
GO:0010604,positive regulation of macromolecule metabolic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.48973585409784137,1.3191112286254518
GO:0007155,cell adhesion,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4921337312854338,1.5736253612700104
GO:0110053,regulation of actin filament organization,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.49682442093389106,2.5487725733056905
GO:0009605,response to external stimulus,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4978359802264317,1.4018466515285326
GO:0009893,positive regulation of metabolic process,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.4980001824998965,1.2814349990625842
GO:0007275,multicellular organism development,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.505430076858697,1.3107435271344987
GO:0006955,immune response,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.5075291677926886,1.4133731041581312
GO:0007267,cell-cell signaling,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.509232040907612,1.6980926336339492
GO:0048856,anatomical structure development,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.5110501826760243,1.2531985489441342
GO:0090066,regulation of anatomical structure size,GO:BP,5,"Blood, Brain, Liver, Lung, Muscle",0.5115470091592358,2.1286680407553003
