symbol,pig_gene_id,human_gene_id,is_one_to_one,homology_type
A1BG,ENSSSCG00000004001,ENSG00000121410,True,ortholog_one2one
A4GNT,ENSSSCG00000022473,ENSG00000118017,True,ortholog_one2one
AACS,ENSSSCG00000009755,ENSG00000081760,True,ortholog_one2one
AAK1,ENSSSCG00000008337,ENSG00000115977,True,ortholog_one2one
AARS2,ENSSSCG00000001706,ENSG00000124608,True,ortholog_one2one
AARSD1,ENSSSCG00000037979,ENSG00000266967,True,ortholog_one2one
AASDH,ENSSSCG00000027403,ENSG00000157426,True,ortholog_one2one
AASDHPPT,ENSSSCG00000014998,ENSG00000149313,True,ortholog_one2one
AASS,ENSSSCG00000016613,ENSG00000008311,True,ortholog_one2one
ABAT,ENSSSCG00000007909,ENSG00000183044,True,ortholog_one2one
ABCA2,ENSSSCG00000039264,ENSG00000107331,True,ortholog_one2one
ABCA3,ENSSSCG00000008051,ENSG00000167972,True,ortholog_one2one
ABCA5,ENSSSCG00000017255,ENSG00000154265,True,ortholog_one2one
ABCA8,ENSSSCG00000026473,ENSG00000141338,True,ortholog_one2one
ABCA9,ENSSSCG00000017257,ENSG00000154258,True,ortholog_one2one
ABCB7,ENSSSCG00000012424,ENSG00000131269,True,ortholog_one2one
ABCB8,ENSSSCG00000027986,ENSG00000197150,True,ortholog_one2one
ABCB9,ENSSSCG00000009784,ENSG00000150967,True,ortholog_one2one
ABCC1,ENSSSCG00000007874,ENSG00000103222,True,ortholog_one2one
ABCC10,ENSSSCG00000001680,ENSG00000124574,True,ortholog_one2one
ABCC11,ENSSSCG00000032298,ENSG00000121270,True,ortholog_one2one
ABCC12,ENSSSCG00000022813,ENSG00000140798,True,ortholog_one2one
ABCC3,ENSSSCG00000017561,ENSG00000108846,True,ortholog_one2one
ABCC8,ENSSSCG00000013378,ENSG00000006071,True,ortholog_one2one
ABCF2,ENSSSCG00000016441,ENSG00000033050,True,ortholog_one2one
ABCG4,ENSSSCG00000015113,ENSG00000172350,True,ortholog_one2one
ABCG5,ENSSSCG00000035912,ENSG00000138075,True,ortholog_one2one
ABHD1,ENSSSCG00000008554,ENSG00000143994,True,ortholog_one2one
ABHD10,ENSSSCG00000034450,ENSG00000144827,True,ortholog_one2one
ABHD11,ENSSSCG00000007715,ENSG00000106077,True,ortholog_one2one
ABHD14A,ENSSSCG00000030229,ENSG00000248487,True,ortholog_one2one
ABHD17B,ENSSSCG00000021802,ENSG00000107362,True,ortholog_one2one
ABHD18,ENSSSCG00000009074,ENSG00000164074,True,ortholog_one2one
ABHD2,ENSSSCG00000001835,ENSG00000140526,True,ortholog_one2one
ABHD4,ENSSSCG00000002051,ENSG00000100439,True,ortholog_one2one
ABHD5,ENSSSCG00000011297,ENSG00000011198,True,ortholog_one2one
ABLIM3,ENSSSCG00000014430,ENSG00000173210,True,ortholog_one2one
ABT1,ENSSSCG00000038191,ENSG00000146109,True,ortholog_one2one
ABTB1,ENSSSCG00000024827,ENSG00000114626,True,ortholog_one2one
ABTB2,ENSSSCG00000013303,ENSG00000166016,True,ortholog_one2one
ABTB3,ENSSSCG00000000162,ENSG00000151136,True,ortholog_one2one
ACAA1,ENSSSCG00000011250,ENSG00000060971,True,ortholog_one2one
ACAA2,ENSSSCG00000004510,ENSG00000167315,True,ortholog_one2one
ACAD10,ENSSSCG00000009836,ENSG00000111271,True,ortholog_one2one
ACAD11,ENSSSCG00000011629,ENSG00000240303,True,ortholog_one2one
ACAD9,ENSSSCG00000023354,ENSG00000177646,True,ortholog_one2one
ACADL,ENSSSCG00000016156,ENSG00000115361,True,ortholog_one2one
ACADM,ENSSSCG00000003776,ENSG00000117054,True,ortholog_one2one
ACAP1,ENSSSCG00000017943,ENSG00000072818,True,ortholog_one2one
ACAT2,ENSSSCG00000004049,ENSG00000120437,True,ortholog_one2one
ACER2,ENSSSCG00000034213,ENSG00000177076,True,ortholog_one2one
ACER3,ENSSSCG00000032723,ENSG00000078124,True,ortholog_one2one
ACHE,ENSSSCG00000030303,ENSG00000087085,True,ortholog_one2one
ACKR1,ENSSSCG00000036223,ENSG00000213088,True,ortholog_one2one
ACKR2,ENSSSCG00000031154,ENSG00000144648,True,ortholog_one2one
ACLY,ENSSSCG00000017421,ENSG00000131473,True,ortholog_one2one
ACOT6,ENSSSCG00000002348,ENSG00000205669,True,ortholog_one2one
ACOT7,ENSSSCG00000003377,ENSG00000097021,True,ortholog_one2one
ACOT8,ENSSSCG00000007426,ENSG00000101473,True,ortholog_one2one
ACOT9,ENSSSCG00000012172,ENSG00000123130,True,ortholog_one2one
ACOX1,ENSSSCG00000017198,ENSG00000161533,True,ortholog_one2one
ACOX2,ENSSSCG00000011477,ENSG00000168306,True,ortholog_one2one
ACOX3,ENSSSCG00000008724,ENSG00000087008,True,ortholog_one2one
ACOXL,ENSSSCG00000037846,ENSG00000153093,True,ortholog_one2one
ACP1,ENSSSCG00000008659,ENSG00000143727,True,ortholog_one2one
ACSBG1,ENSSSCG00000001760,ENSG00000103740,True,ortholog_one2one
ACSL1,ENSSSCG00000015784,ENSG00000151726,True,ortholog_one2one
ACSL3,ENSSSCG00000016223,ENSG00000123983,True,ortholog_one2one
ACSL4,ENSSSCG00000012583,ENSG00000068366,True,ortholog_one2one
ACSL5,ENSSSCG00000031789,ENSG00000197142,True,ortholog_one2one
ACSL6,ENSSSCG00000014272,ENSG00000164398,True,ortholog_one2one
ACSS2,ENSSSCG00000007286,ENSG00000131069,True,ortholog_one2one
ACTC1,ENSSSCG00000004803,ENSG00000159251,True,ortholog_one2one
ACTG2,ENSSSCG00000008294,ENSG00000163017,True,ortholog_one2one
ACTL8,ENSSSCG00000024062,ENSG00000117148,True,ortholog_one2one
ACTL9,ENSSSCG00000013605,ENSG00000181786,True,ortholog_one2one
ACTMAP,ENSSSCG00000040533,ENSG00000188493,True,ortholog_one2one
ACTN1,ENSSSCG00000036702,ENSG00000072110,True,ortholog_one2one
ACTN2,ENSSSCG00000010144,ENSG00000077522,True,ortholog_one2one
ACTN4,ENSSSCG00000002965,ENSG00000130402,True,ortholog_one2one
ACTR1A,ENSSSCG00000010585,ENSG00000138107,True,ortholog_one2one
ACTR6,ENSSSCG00000025682,ENSG00000075089,True,ortholog_one2one
ACTR8,ENSSSCG00000011458,ENSG00000113812,True,ortholog_one2one
ACTRT2,ENSSSCG00000003357,ENSG00000169717,True,ortholog_one2one
ACVR1B,ENSSSCG00000000233,ENSG00000135503,True,ortholog_one2one
ACVR1C,ENSSSCG00000015873,ENSG00000123612,True,ortholog_one2one
