symbol,pig_gene_id,human_gene_id
A1BG,ENSSSCG00000004001,ENSG00000121410
A1CF,ENSSSCG00000010431,ENSG00000148584
A2M,ENSSSCG00000000660,ENSG00000175899
A2ML1,ENSSSCG00000000664,ENSG00000166535
A4GALT,ENSSSCG00000026962,ENSG00000128274
A4GNT,ENSSSCG00000022473,ENSG00000118017
AAAS,ENSSSCG00000000268,ENSG00000094914
AACS,ENSSSCG00000009755,ENSG00000081760
AADACL3,ENSSSCG00000003441,ENSG00000188984
AADACL4,ENSSSCG00000003440,ENSG00000204518
AADAT,ENSSSCG00000009708,ENSG00000109576
AAGAB,ENSSSCG00000004951,ENSG00000103591
AAK1,ENSSSCG00000008337,ENSG00000115977
AAMDC,ENSSSCG00000037251,ENSG00000087884
AAMP,ENSSSCG00000016189,ENSG00000127837
AAR2,ENSSSCG00000007315,ENSG00000131043
AARD,ENSSSCG00000006013,ENSG00000205002
AARS1,ENSSSCG00000002723,ENSG00000090861
AARS2,ENSSSCG00000001706,ENSG00000124608
AARSD1,ENSSSCG00000037979,ENSG00000266967
AASDH,ENSSSCG00000027403,ENSG00000157426
AASDHPPT,ENSSSCG00000014998,ENSG00000149313
AASS,ENSSSCG00000016613,ENSG00000008311
AATK,ENSSSCG00000017141,ENSG00000181409
ABAT,ENSSSCG00000007909,ENSG00000183044
ABCA1,ENSSSCG00000005423,ENSG00000165029
ABCA12,ENSSSCG00000034282,ENSG00000144452
ABCA2,ENSSSCG00000039264,ENSG00000107331
ABCA3,ENSSSCG00000008051,ENSG00000167972
ABCA4,ENSSSCG00000006890,ENSG00000198691
ABCA5,ENSSSCG00000017255,ENSG00000154265
ABCA6,ENSSSCG00000017256,ENSG00000154262
ABCA7,ENSSSCG00000023121,ENSG00000064687
ABCA8,ENSSSCG00000026473,ENSG00000141338
ABCA9,ENSSSCG00000017257,ENSG00000154258
ABCB1,ENSSSCG00000015390,ENSG00000085563
ABCB10,ENSSSCG00000010188,ENSG00000135776
ABCB11,ENSSSCG00000015926,ENSG00000073734
ABCB5,ENSSSCG00000015377,ENSG00000004846
ABCB6,ENSSSCG00000016210,ENSG00000115657
ABCB7,ENSSSCG00000012424,ENSG00000131269
ABCB8,ENSSSCG00000027986,ENSG00000197150
ABCB9,ENSSSCG00000009784,ENSG00000150967
ABCC1,ENSSSCG00000007874,ENSG00000103222
ABCC10,ENSSSCG00000001680,ENSG00000124574
ABCC11,ENSSSCG00000032298,ENSG00000121270
ABCC12,ENSSSCG00000022813,ENSG00000140798
ABCC2,ENSSSCG00000010543,ENSG00000023839
ABCC3,ENSSSCG00000017561,ENSG00000108846
ABCC4,ENSSSCG00000026996,ENSG00000125257
ABCC5,ENSSSCG00000011782,ENSG00000114770
ABCC6,ENSSSCG00000007873,ENSG00000091262
ABCC8,ENSSSCG00000013378,ENSG00000006071
ABCC9,ENSSSCG00000000571,ENSG00000069431
ABCD1,ENSSSCG00000012779,ENSG00000101986
ABCD2,ENSSSCG00000000781,ENSG00000173208
ABCD3,ENSSSCG00000028620,ENSG00000117528
ABCD4,ENSSSCG00000038231,ENSG00000119688
ABCE1,ENSSSCG00000009043,ENSG00000164163
ABCF2,ENSSSCG00000016441,ENSG00000033050
ABCF3,ENSSSCG00000028856,ENSG00000161204
ABCG1,ENSSSCG00000027745,ENSG00000160179
ABCG4,ENSSSCG00000015113,ENSG00000172350
ABCG5,ENSSSCG00000035912,ENSG00000138075
ABCG8,ENSSSCG00000008453,ENSG00000143921
ABHD1,ENSSSCG00000008554,ENSG00000143994
ABHD10,ENSSSCG00000034450,ENSG00000144827
ABHD11,ENSSSCG00000007715,ENSG00000106077
ABHD12,ENSSSCG00000040449,ENSG00000100997
ABHD12B,ENSSSCG00000005023,ENSG00000131969
ABHD13,ENSSSCG00000009541,ENSG00000139826
ABHD14A,ENSSSCG00000030229,ENSG00000248487
ABHD14B,ENSSSCG00000042259,ENSG00000114779
ABHD15,ENSSSCG00000017789,ENSG00000168792
ABHD16B,ENSSSCG00000035915,ENSG00000183260
ABHD17A,ENSSSCG00000013442,ENSG00000129968
ABHD17B,ENSSSCG00000021802,ENSG00000107362
ABHD17C,ENSSSCG00000001782,ENSG00000136379
ABHD18,ENSSSCG00000009074,ENSG00000164074
ABHD2,ENSSSCG00000001835,ENSG00000140526
ABHD3,ENSSSCG00000028010,ENSG00000158201
ABHD4,ENSSSCG00000002051,ENSG00000100439
ABHD5,ENSSSCG00000011297,ENSG00000011198
ABHD6,ENSSSCG00000011470,ENSG00000163686
ABHD8,ENSSSCG00000031877,ENSG00000127220
ABI1,ENSSSCG00000024127,ENSG00000136754
ABI2,ENSSSCG00000034630,ENSG00000138443
ABI3BP,ENSSSCG00000011959,ENSG00000154175
ABITRAM,ENSSSCG00000005440,ENSG00000119328
ABL1,ENSSSCG00000005706,ENSG00000097007
ABL2,ENSSSCG00000024674,ENSG00000143322
