pig_gene_id,gene_symbol,description,success,biomarker_label,human_length,importance
ENSSSCG00000018007,MYH3,myosin heavy chain 3 [Source:VGNC Symbol;Acc:VGNC:98145],True,MHCdev,28783.0,0.0
ENSSSCG00000018005,MYH8,myosin heavy chain 8 [Source:VGNC Symbol;Acc:VGNC:109664],True,MHCneonatal,31628.0,0.0
ENSSSCG00000034015,XIRP1,xin actin binding repeat containing 1 [Source:NCBI gene (formerly Entrezgene);Acc:100134978],True,XIRP1,9389.0,0.0
ENSSSCG00000015917,XIRP2,xin actin binding repeat containing 2 [Source:VGNC Symbol;Acc:VGNC:109485],True,XIRP2,371273.0,0.0
ENSSSCG00000023611,TNXB,tenascin XB [Source:NCBI gene (formerly Entrezgene);Acc:445520],True,TNXB,74181.0,0.0
ENSSSCG00000031053,S100A1,S100 calcium binding protein A1 [Source:VGNC Symbol;Acc:VGNC:92535],True,S100A1,4118.0,0.0
ENSSSCG00000029251,MAP4,microtubule associated protein 4 [Source:VGNC Symbol;Acc:VGNC:103071],True,MAP4,238617.0,0.0
ENSSSCG00000001485,MLIP,muscular LMNA interacting protein [Source:VGNC Symbol;Acc:VGNC:90253],True,MLIP,336964.0,0.0
ENSSSCG00000011286,KLHL40,kelch like family member 40 [Source:VGNC Symbol;Acc:VGNC:89533],True,KLHL40,9617.0,0.0
ENSSSCG00000012365,MSN,moesin [Source:NCBI gene (formerly Entrezgene);Acc:494458],True,MSN,153559.0,0.0
ENSSSCG00000026116,FHOD1,formin homology 2 domain containing 1 [Source:VGNC Symbol;Acc:VGNC:88131],True,FHOD1,18152.0,0.0
ENSSSCG00000005601,HSPA5,heat shock protein family A (Hsp70) member 5 [Source:VGNC Symbol;Acc:VGNC:103107],True,HSPA5,6529.0,0.0
ENSSSCG00000037539,SORCS2,sortilin related VPS10 domain containing receptor 2 [Source:VGNC Symbol;Acc:VGNC:93340],True,,550289.0,1795.4428224011015
ENSSSCG00000012669,,Rho GTPase activating protein 36 [Source:VGNC Symbol;Acc:VGNC:85474],True,,,1398.9011655589566
ENSSSCG00000036512,FGFRL1,fibroblast growth factor receptor like 1 [Source:VGNC Symbol;Acc:VGNC:88121],True,,18252.0,1311.5201279971516
ENSSSCG00000012667,IGSF1,immunoglobulin superfamily member 1 [Source:VGNC Symbol;Acc:VGNC:89062],True,,305393.0,690.0647982711283
ENSSSCG00000030303,ACHE,acetylcholinesterase [Source:VGNC Symbol;Acc:VGNC:97029],True,,7028.0,352.36624811162864
ENSSSCG00000004803,ACTC1,actin alpha cardiac muscle 1 [Source:NCBI gene (formerly Entrezgene);Acc:100152267],True,,5805.0,302.7769778743386
ENSSSCG00000016453,TCAF1,TRPM8 channel associated factor 1 [Source:UniProtKB Gene Name;Acc:A0A287A9U0],True,,52526.0,290.2968184153239
ENSSSCG00000004094,PPP1R14C,protein phosphatase 1 regulatory inhibitor subunit 14C [Source:VGNC Symbol;Acc:VGNC:91724],True,,107348.0,260.84608777053654
ENSSSCG00000027613,TRDN,triadin [Source:VGNC Symbol;Acc:VGNC:103195],True,,422172.0,246.11371052637696
ENSSSCG00000042876,,,True,,,236.08906472846866
ENSSSCG00000044722,,,True,,,196.40964964249483
ENSSSCG00000009972,KREMEN1,kringle containing transmembrane protein 1 [Source:VGNC Symbol;Acc:VGNC:89572],True,,95383.0,190.0211424032847
ENSSSCG00000044729,,,False,,,166.8555075650414
ENSSSCG00000004399,SLC22A16,solute carrier family 22 member 16 [Source:VGNC Symbol;Acc:VGNC:92976],True,,51994.0,158.3046816724042
ENSSSCG00000017379,ETV4,ETS variant transcription factor 4 [Source:VGNC Symbol;Acc:VGNC:87813],True,,51778.0,145.41227420171103
ENSSSCG00000002792,,,False,,,134.1858355298949
ENSSSCG00000035805,DLK1,delta like non-canonical Notch ligand 1 [Source:VGNC Symbol;Acc:VGNC:87333],True,,12519.0,131.98135899504027
ENSSSCG00000044892,,,True,,,130.5926055063804
ENSSSCG00000033029,,,False,,,121.47008384205401
ENSSSCG00000035320,ASB14,ankyrin repeat and SOCS box containing 14 [Source:VGNC Symbol;Acc:VGNC:85562],True,,24343.0,101.55941579987605
ENSSSCG00000036501,WDR1,WD repeat domain 1 [Source:VGNC Symbol;Acc:VGNC:94905],True,,48899.0,94.70338606834412
ENSSSCG00000026087,GKAP1,G kinase anchoring protein 1 [Source:VGNC Symbol;Acc:VGNC:95850],True,,90093.0,89.92839696009953
ENSSSCG00000039342,DNAI1,dynein axonemal intermediate chain 1 [Source:VGNC Symbol;Acc:VGNC:108269],True,,63574.0,85.13093773275614
ENSSSCG00000036741,,,False,,,83.05792004490893
ENSSSCG00000012234,SRPX,sushi repeat containing protein X-linked [Source:UniProtKB Gene Name;Acc:A0A4X1U8J2],True,,71605.0,77.7233159871151
